Familiarising with IDE,,,Predictable (3),Effective (4),Satisfaction (3),Trust (1),Efficient (1),Vector: ,Invoke (5),Row Range, Predictable (1), Effective (0), Satisfaction (0), Trust (1), Efficient (0),Not Predictable (2),Not Effective (4),Not Satisfaction (3),Not Trust (0),Not Efficient (1),Refactorings
I sometimes use the package explorer in eclipse to move methods. You can see them nested there. So I guess it should work here. But I've bever tried this in intelliJ. [09:12],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's start with the first two.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I can multiselect?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Cmd,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then I would drag these here. It's not going to work is it. Can I cut them? [09:47],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you wanted to cut these and paste them into the class?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's what I want to do. But you can only copy. [10:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looks like I can't move them either. [10:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It seems like the easiest thing is just to do it manually. I wouldn't be surprised if there was a better way. [10:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why were you inclined to use the tooling originally?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I thought it would be faster. It is importing stuff automatically, that's nice.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And what made you decide to abandon it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I spent a couple of minutes and didn't get it working. I decided it is faster to do manually. If I were to spend a lot of time doing this I may investigate how to do it. [11:35],"Reflection
Not Efficient (“I decided it is faster to do manually.”)
",,0,0,0,0,1,"<0,0,0,0,1>",0,30-30,0,0,0,0,0,0,0,0,0,1,
I: Did you compare it to the time you thought the task would take?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Not explicitly, but I thought the task wouldn't take very long. Also the fact that I couldn't do it made me think that the tooling doesn't support it. I tried a couple of different approaches and couldn't get them to work. [12:04]","Reflection
Not Effective (“the fact that I couldn't do it made me think that the tooling doesn't support it.”)
",,0,1,0,0,0,"<0,1,0,0,0>",0,32-32,0,0,0,0,0,0,1,0,0,0,
So this says testIsNoneEmpty. I guess a disadvantage of how I'm doing it is that it is more likely I'll do it wrong.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you think can go wrong?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I can move the wrong methods or not all the ones I think I'm moving.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Why is it already defined?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Apparently I did not actually copy them. [13:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
wait what,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm not sure what is going on,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I cut them, and paste them in here.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know what happened there. The first time I cut them and pasted what I previously copied and I've no idea how that happened. [15:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's it for stringutilstest. Now it's stringUtilsTrimEmptyTest,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There we have (list of methods).,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And I will have the context of that [15:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh i don't,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What context were you expecting?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I was expecting these to have the same as those but they don't.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So what's interesting, since I did it manually is there are these comments separating it from the file. Guess I should remove that. If I used the tool I wouldn't notice I guess. [16:32]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Guess I duplicated those. That was from when I pasted the wrong thing. Sanity check: I should have 12 methods, and I do. [17:09]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And I should be able to run this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: For the second class you did not try to use the tool at all, how come?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I was doing the same thing and I had already decided it wouldn't work.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Cannot resolve symbol foo,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So we have this constant defined here. I copy this. [18:32],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The tests pass so I guess I'm done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I located the methods that I wanted to move, and I had to figure out what to call the class I was moving them to, and it seemed the common thing with them was that they were all testing for empty or blank so I named the class accordingly, and I cut and pasted them into the class. I tried to run the tests but there were compilation errors, so I found that there was a constant needed and I copied that there. I considered defining the constant somewhere else where it could be shared, but since it was just a constant foo it didn't see wort it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated these steps?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm pretty sure in eclipse you can drag-and-drop methods in package explorer, so that's what I would have done if I was in eclipse. [19:56]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you expect that to handle this constant issue.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't think it would do any better than what happened here. I would get an error and would have to manually fix it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you have preferred that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't think specifically for this, but sometimes in eclipse when you do refactorings, you get a dialogue with errors, which is nice - although most of the time I ignore it anyway, because I know that I am going to resolve the error in some other way. [20:45]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you ignore the errors, do they show up as compilation errors or do you have to remember them?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There may be cases where they wouldn't show up, for example with name shadowing, then you'd have to know what happened, but most of the time it's fine.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So do you usually read it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I usually skim it. It depends - sometimes there's three and sometimes a houndred. If there's a hundred then I'm probably not going to read them all.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you usually cancel or proceed?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I usually proceed. [21:53],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
One thing about what I did here is that I didn't spend much effort at understanding the difference between these two classes which I maybe should have done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why do you think you should have done that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It may have informed how I named the class I moved them to. It may have told me about other constraints I should have considered. I guess part of what I'm doing when doing a task like this is evaluating whether the task makes sense.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You changed strategy at some point early on. What happened there?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I guess I didn't think much when I started. When I got to the point I was prompted for a name I realised I didn't know what I was going to call it. I was planning to call it this name, but it was already used. The prompt for information made me think harder about what I was doing which made me understand it better [23:20]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Any changes you're unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No. However, I did not look over what I've done carefully. If I was going to commit this code I would probably look at a diff of what I've done to make sure I'm happy with it. And I think I relied a fair bit on intuition. I did not try to get a deep understanding of what the code was doing before making changes. That work 90% of the time, but the other 10% it's wrong. Depending on how important this is, I may try to get that deeper understanding before committing this. [24:18]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you usually use your diff to check what you have done?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. Here we use code review which creates a diff.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Does that mean you would have worked differently if you did not have that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Not really. I always want to know, before I commit my code, what am I actually committing. Make sure I don't include somethign I didn't mean to include. Just sort of do a sanity check.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T2.[25:08] Reading task. [25:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
check if it's empty return false.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"check the array is empty return false. Otherwise if any one is empty, return true. So this is .. we also have isAllEmpty. And how is that implemented. Just a negation of that. [26:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think what I would do is reimplement is all empty, and have isAnyEmpty delegate to isAllEmpty. I'm assuming that there's going to be places that call isAnyNotEmpty that I need to fix. [26:46]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you go about finding those?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would use the call hierarchy. It looks like there is actually no other usages. It is only used in the tests. So some of these tests I can probably just delete. Maybe even all of them. They are testing the method I want to remove. Before I start, let me look at the other one. [27:51]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This looks like the same thing. And we want to keep isAllBlank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is very much the same. [28:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What is going to happen to all the people using these methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: You don't need to worry about that. This is between releases, the methods were added after the last release and are being amended before they have been released.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[28:47] ok. Let's start with this one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'll copy this, and ... so I guess we will return true in this case. And..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would probably rewrite this using streams. [30:25],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
delete isAnyNotBlank. I also checked the javadoc of the method I deleted to make sure that it is covered by the one here. And it is.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isAnyNotEmpty [31:46],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to do the same thing again.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isAllEmpty.. and again ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok. So i should run the tests for this. [33:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There should be errors here actually. I didn't delete the tests for the methods I removed. [33:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Why am I not getting errors.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I delete the tests. Hm, test failures. [34:48]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you expected some errors but not these errors?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I expected compilation errors, not test failures.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I guess I need to have a null-check here. And probably this is the same issue. [35:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok. Let's try this again. [36:46],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What is happening now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The test is failing and I am trying to figure out why.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok I think I see what is happening. But I guess, this is an array with one element null. Unsure why this method does not work. So this test is questionable then. Oh because it is cast to a string. I am going to try to remove this assertion to see if the rest of them would pass. [38:13]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: is this a change you intend to keep?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Possibly.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to remove this null check I added as well.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Then I'll run the tests again, and see if anything else fails.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so we're passing in arrays as nulls",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So one thing I didn't do was to run the tests before I started. I wonder if they were passing at that point.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: They were.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok. So what's going wrong here. This is calling isNotBlank on each elemet, which calls isBlank ..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
this ought to be working [40:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oh, I've done this backwards. This is calling isNotBlank and I should be calling isBlank. [40:52]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you decide which call to make?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I copied the code from the original method it was delegating to, with the intention of negating it, but apparently I did it wrong. [41:17]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, let's run the tests again, and if they pass I'll add the tests i removed.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And that's the second. [42:06],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok now they are passing. I am done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I wanted to understand the relationship between the methods we wanted to keep and remove. I wanted to see if the methods we were removing were used somewhere else. Then I had to decide how to make the methods we were keeping work. I could have - because they were delegating to the ones we were removing, I could have kept those ones and made them private, but that seemed kind of not good, so I thought it was better to reimplement them. So I did that. Then I ran the tests, and it didn't work and I had to figured out what I did wrong. [43:09]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know any tools that could have automated any part of this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Come to think of it I could have inlined the calls to the methods that were being removed. That is what I would normally do. I think, because it is a study situation, and I using Mac and intellij, all those things contributed to me doing things I normally would not.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: So if you would do this over again, how would you do it?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would use the inline refactoring to inline and remove the methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: In eclipse, when using inline, you are prompted to inline a particular call or all callers. How would you have configured the tool?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I guess I would only want to inline the call in the method we want to keep. If there were other calls I would get compilation errors and I could go and update them. [44:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The thing I initially thought of when I started doing this was, I would reverse the dependency, so the methods we were removing would depend on the one I was keeping, and then I would remove the ones I was removing. So all the other call sites would point to the one I was keeping. That is probably how I would do it. [44:39]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you had used the inline tool, how would you expect it to handle this negating problem.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It doesn't really transform the code... well, that's a good question. Sometimes in eclipse when you inline something, it won't let you do it, and I don't really have the grasp of when it lets you or not, but what I think it will do in this case, is just assign the result to a local variable and negate that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you have kept that solution or fixed it after?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I guess I would have fixed it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you have done what you did now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes [45:32] So I guess the inlining would not have been all that helpful. But I did start with copying and pasting the code, which is like manually inlining it. I don't know why I didn't just use the refactoring.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you do any repetitive code changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Both methods follow the same structure, so kind of.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you explain what that structure was? [46:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"First we check if it is empty, and then it is this part calling isblank on each element. Webstorm has this feature, I assume intellij too, where you can have multiple cursors, I guess I could have used that. But given the size of the methods and the difficuly of navigating through this large file to find them, I think that would not have been worth it. [46:40]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T3 *reading*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll start by finding the code. [47:32],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's not pointing to a specific method. I guess I am looking for the methods that allow you to forceaccess. A boolean parameter. We have one on getField. And readfield. There are two readfield methods. And ... writeField. There are two of those aswell. And writedeclaredfield. And readDeclearedField. There is a whole bunch of them. So what happens when this flag is set. we are passing it into getDelcaredField. [48:41],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And is used to call setAccessible. I guess we just want to remove that. *checks with task*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Going back to where this was called. [49:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I guess we want to remove the parameter from all of these methods. The call sites as well. What do we want to do with the tests. [49:34],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Checking where forceaccess is being set. So far it's always true. Looks like there are no tests that sets forceaccess to false. So I guess what I will do is to use the change method signature refactoring to remove the parameter from the getDeclaraedFields method and then run the tests and see what they do.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Before you being, can you explain the task back to me?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
We want to remove the functionality that allows us to access fields that are private. this is controlled by a flag that is passed into these methods. So I will remove this flag. [51:09],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's start with getDeclaredField. I use change signature. And remove this parameter.,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"Ok, I'm going to preview this. It's giving me a warning, I'm going to say yes. I always forget, the preview in intelliJ does not actually show you what it is going to do. [52:05]","Invocation
Not Predictable (“does not actually show you what it is going to do”)
",,1,0,0,0,0,"<1,0,0,0,0>",0,153-153,0,0,0,0,0,1,0,0,0,0,
So let's see what happens.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So this raises a question I didn't think about which is, what do we do in the else case?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
set accessible.. or else. I guess we will just keep returning null in that case. [52:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's run the tests,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, there is an error, because there is already a method declared like that, so I can just delete that one. Assuming it set it to false - what was it doing? It does not say. Let's see what this was before. [53:36]",,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, it was false. So I can delete this. Hm. [54:50]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So what's getting an exception here. This string is package visible. And we're in a different package here, so it's not going to work. So we could make this public. Where else is this used? No usages. So it's only accessed through reflection. [55:35]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Or is public child used? 33 usages. So it seems to be used just in this one test class. So it seems like it is fine to set it to public. Especially since we are not testing the case where the flag is set to false. Let's run it again. If it passes I think I can just go and change the signatures of the remaining methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I have a bunch of errors [56:44],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm not really sure what's going on here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so we are checking that it's made accessible, so making it public is going to break it.. so I'll make another field maybe? Hang on a sec. Seems like we want to have a public field and a nonpublic field. [58:11]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, in this case, it should be the same. This is checking that the two classes are equal, so we should probably add the public field there as well. [58:50]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, let's try this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So now we're back to the original exception that we had. And here I guess we want to access the public field.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So actually, we're testing this forceaccess that no longer exist. So maybe we should just remove this test. If we compare it to declaredfield it looks very similar. So let's delete this. [1:00:17]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So what is left are the remaining methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to have a look at how this is used. [1:00:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm actually more interested in the tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I wanted to have a sense of what the tests dealing with this are doing before I do the refactoring, because it is going to change the tests. [1:01:37]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I already confirmed before that it's only calling it with the flag true, and the tests are already passing, so this really should have no effect. So, .. [1:02:02]",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
Why is it used in method body.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So again, I didn't actually read the code, I assume this was delegating to another method. But we also have another method with the same signature as this method, so I can just delete this I think. No it's delegating to this, so I need to inline and then delete. [1:03:05]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This is one of those cases where you can't do it. I don't know why, but when that happens my impulse is to try a second time as if that is going to help.","Invocation
Not Effective (“This is one of those cases where you can't do it.”)
",Invoke (Inline),0,1,0,0,0,"<0,1,0,0,0>",1,176-176,0,0,0,0,0,0,1,0,0,0,Inline
"Ok, so we do the same time thing I did before I guess. We remove these lines.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"and now we refactor, change signature.",,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
Then we can delete this one. [1:04:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's try running the tests again. [1:04:44],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm realising that I make a lot of assumptions coming from Eclipse, that I was not aware of. [1:04:54]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"For example, when I make a change in one file, and there are errors in another file, will there be red marks? [1:05:32]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I guess this is the same thing again, we want it to be a public value. Hm. I am not sure how this test was passing before. [1:06:26]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is trying to access a field that doesn't exist. There is no field b on public child. So I am wondering what it was doing before. [1:06:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What actually is this code doing?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oh I did not notice, is there a superclass on publicchild? There is. So there is a field b on publicchild, the error I am not getting is not great, it's telling me that I can not find it, not that it is not accessible. But I'm thinking that I don't need to change that behavior because that was pre-existing.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Again, this is a test that I guess I can delete, because I guess it is testing forceaccess. So maybe I should go through and delete all those tests. There are a lot of these. [1:08:30]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Can I do that from here? Command.. [1:08:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No I can't delete things. That is kind of annoying. I can do that in Eclipse. [1:09:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok. Let's do another method. [1:10:28],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll do the same thing[1:19:39],,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
then we can delete the duplicate method,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm thinking if this passes, I'll just go through the rest of them and then run the tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So basically, I expect to run into the same problems with each of these, and now that I did one without any problems I am expecting the rest to just work. [1:11:28]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
