This is just kind of like a datastructures library. Utils.. oh that's long.,,,Predictable (3),Effective (2),Satisfaction (2),Trust (2),Efficient (2),Vector: ,Invoke (3),Row Range, Predictable (2), Effective (1), Satisfaction (0), Trust (1), Efficient (0),Not Predictable (1),Not Effective (1),Not Satisfaction (2),Not Trust (1),Not Efficient (2),Refactorings
"No, I do not - and it doesn't - which is good! [35:58]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I feel relatively ok, but now I am looking at this and I feel sad inside. Two failed. That is ok. [37:12]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So if it is ... all empty.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll run these again. [37:52],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Looks green. Great, I think we're ok. I have complete confidence in this test suite.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Test suites do not necessarily tell you the whole story. I'll just check. isanynotblank..isanynotempty. I think I am done. [38:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I navigated to string utils, did crl+f for the methods, and then I opened the structure view to see if it is overloaded or not. If it is overloaded, right, I have a big problem. Then I don't know what to do. Luckily they were not overloaded, and deleting this method was the only one to delete. So I did that. Then I found out that it was being used by other methods in the same class, so that gave me a problem, so I wanted make sure that I did not break anything else by changing the code, so I made the method I deleted throw an exception instead of returning a dummy value like false - because that will actually still make something pass, like I said. But an exception will just crap the whole thing. Then what I did was, only the tests that was related to the method I was deleting was failing, which means that I have successfully deleted the method I want to delete. And now I refactor the method that use the method I deleted to use other methods. [40:10]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And then when problems arose like the tests still failing after my refactoring, I let the errors kind of guide me to what I needed to do.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that automate any of the steps you needed to make?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know of any tools that automate the refactoring I needed to do. I think this was largely a manual process. [40:41],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What was the refactoring you needed to do?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Basically delete method and replace the functionality of the deleted method with another method in the same class. I don't think IntelliJ is intelligent enough to tell me which methods could do that. [41:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any other tools that could help you?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I don't think so.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any of the changes you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I am always unsure of any changes, but I think I was pretty careful with the tests that I ran to make sure that I kept the same functionality. [41:28]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't know if I introduced any bugs or not, but I did keep the same functionality as before. That is what the tests were telling me. [41:35]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What would you usually have done to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think this is representative of how I usually go about solving these tasks. I run the tests like a scared animal.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I will probably look at the method, look at the test, run the test to see exactly what this is doing and try to go from there. What I will also probably do is, every place the force access flag is used in the method, I will set the value of hte flag to be false, as an initial pass, and then after running the tests I will remove the boolean flag alltogether and the switches on that flag.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Task 3,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Close everything else. [43:33],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There are multiple methods I am going to have to change - oh that's annoying. ForceAccess, where is this used. I will just mark these.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm not that much of a matcho programmer so I'll probably do one method at a time. So that is one I have to do, here is another. Oh, there are a lot. So I am probably going to copy and paste all of these. [44:47]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I have seven places where I need to remove these.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's start with a simple one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Actually this is a horrible way to go about this. What I should do is look at where forceAccess is just used and not passed through as an argument, 'cause that is going to screw me up. [46:30]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Unfortunately, this looks like the only place it is just used and not passed around. So what I am going to do here is find the place that forceAccess is actually used as a boolan parameter [value] is opposed to methods that just pass it down through a call. If it do it up top it is probably not a great idea.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: On the top of what? [46:52],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
On the top of a call where it is being passed down. I want to find where it is just used and not being passed around. [47:03],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on why that is?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"My visualisation of how that is going to be is, if I change it in a method where it is being passed down, it is going to lead to a lot of cascading effects, that are going to have to change other methods as I just try to remove the forceAccess, whereas if I do it just here, I am going to only focus on this method and worry about everything else, like up top, later. [47:42]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Let's take a look. getDeclaredField is used in a lot of tests. And most of it is true. But we want all of it to be false so I don't think these tests are even valid any more ... true true true... so all of these are probably going to fail now. Oh, that is going to throw an exception because.. great. Now I can run these tests. Great, they are all passing. So let's take a look at fieldUtils - and if it is true, we set accessible, and if false, we just return null. [48:57]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And see what happens to these tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Do you expect this to be part of the solution, what you just did?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Setting everything to false? I don't expect that to be part of the final solution, but I am trying to make all my changes as atomically as possible. I don't want to delete entire fragments of code at a time, and I am trying to get it as close to the final solution as possible without making a ton of changes. I kind of want to see what happens in my test. So it has a nullpointer exception here, which is annoying. So go here, if it is false, let's set that to.. so now, let's remove this, which is definitely going to cause changes in other methods. [50:14]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And this is getting false. That basically makes me change redeclared field, just like that. Oops, what is this saying.. oh crap this is going to be annoying. Ambiguous methods called, in fieldutils - now I am going to have to look at this more carefully. I think there may be an overloaded method. So what I am going to do is basically, I am going to look at the structure again to see where exacly things are going wrong.. 'cause we are seeing that these two have exactly the same way, and one is overloaded with the boolean flag. [51:14]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, getDeclaredField. Oh. Ok.. I'm trying to think what is going on here. So that is always passed on as false.. so if I make the change here, do we even need this wrapper method. I don't think we do, because getDeclaredField will return a field by definition. I don't think we no longer need this method, so I am going to delete this as well. [52:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And now the tests are going to complain of course. getDeclaredField, forceaccess. And we don't want ot forceaccess any more - so do we even need these tests? No, because they are no longer part of our solution. [52:33]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now we expect this to throw an exception - but why - does this [52:47] throw an exception? That is fine. So where is this thrown.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So what I am trying to do here is figure out where this exception [52:59] and kind of go from there. These names are really annoying. [53:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I hope we can delete these. I am going to delete these.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This was a little trickier than I thought. Ok. So forceaccess is no longer something here. And are there any other compile errors? I bet there are, because that thing is used everywhere. [54:16]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes it is. Hmm.. horrifying. This is probably one of the worst ways to refactor. I am just changing a bunch of things without running my tests. But right now, this is not going to even compile otherwise. [54:44]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So now I am literally just going to run all my tests and pray they pass. [54:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ooh. I don't know if it is the right kind of pass we want thought. [55:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I mean, I deleted a lot of tests, and I think I deleted them for a good reason, because it says that all code should perform as if it is false, and they were testing whether it was true, and now we are not going to hit that true condition any more, so I don't think those tests were valid any more. [55:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But that always kind of scares me when I delete a lot of tests. I know that the number of tests doesn't correlate with how strong your test suite is, but I am kind of hesitant to delete all these tests, because I have been taught that testing is good. [55:44]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: To clarify, you decided which ones to choose based on that they were calling it with true?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. And now we can delete this entire thing [56:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Because if false .. it is always false .. so the true branch is never executed so we don't need the true branch at all. Now run all the tests.. we will run the field utils test at least I bet yah if I run the entire suite some will crash. [56:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now let's look at forceaccess, and remove all instance of it. Now it is an and, so it is always going to be false. So we are not going to setAccessible ever, right, because if that is false the end will never be true, therefore remove that. There we go. And this... aah, it is already defined. [57:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That is ok. Let's go back and see which one is overloaded.,,undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"writeField... oh this is just another case of where it is a wrapper, so I'll just remove it, just like that. [57:30]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
where was I .. forceAccess.. [57:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
readField - this will always be false - will this always be false - yes - I can even just delete this - is this overloaded? [58:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, it's just passing it down so it is fine. Done. [58:42]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I am kind of horrified at all the tests we are going to screw up. Object field, object field.. which one is this using.. ok, there is like three of these [59:01]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And then that will fix it. Yep. And forceaccess is used here. Get field. I am just going to run my tests again while I can - ah I can't because there is a red thing there. [59:18],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's cool, thanks intelliJ. Hopefully now I can run my tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: So it seems like you try to get back to the stage where you can run the tests and then doing that every time it is possible, is that correct? [59:39]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now it looks like I have a lot of things to fix here. [59:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now these do not even take parameters.. test.. value one. Ok, that's fine. [1:00:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But this. ...[1:00:08],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Field object publicchild .. [1:00:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
