Sounds good.,,,Predictable (6),Effective (10),Satisfaction (4),Trust (2),Efficient (5),Vector: ,Invoke (12),Row Range, Predictable (3), Effective (4), Satisfaction (1), Trust (2), Efficient (2),Not Predictable (3),Not Effective (6),Not Satisfaction (3),Not Trust (0),Not Efficient (3),Refactorings
"Again, these are looking pretty simple, just invoking SUtis, they have their assertions, so as far as I'm concerned there's really nothing interesting to do here. I really just want to I'm just going to create a new file, identify all the tests that are here and copy them to the new file. That's it. So, I'll go ahead and do that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So make a new java class. Did it say a name it wanted for it, didn't look like it, stringutilsemptyandblank, Yes sure (git)",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Take these, four, start on top, grab those, paste them in there, yep, want to import all that stuff, oh, they have a bunch of constants. Ok, great constant, that's fine, I don't feel like that needs to be shared, it's a test input",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you're just copying it over?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yep. This could be shared, but it doesn't provide any value to be shared. It can just be duplicated. Like, if someone is looking at this test, and they're saying I don't want to use foo, I want to use bar, they can feel free to do that to this test, and if [10:30] they want to do it to all they can do it to all, but there is no need to make that change anything in any other test. There is no value to that as far as I am concerned.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you just clarify what you mean by shared?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Currently this constant is shared amongst these test methods, and it's also duplicated now; I've duplicated it between the TEMPTYtest and my ENBLANKTEst, and so, if I was Azella, who says no code should ever be duplicated, and I notice I have bunch of -- like in here, there is a bunch of SUTIL-related tests, there's seven of them and I just created an eight, and so you could argue that, these tests are testing stringutils, there's probably a lot of common elements to them, and I wouldn't be surprised if, you know, we look at this this, there's static ... defines a bunch of test inputs, and so these test inputs may be useful to the other stringutil-tests, and so if there is some complexity behind it, it would make sense to not duplicate that complexity, but simply to extract it to a common location so all the SUTIL test classes could use it and benefit from it without having to copy the code around. It's especially important if that code will change, you don't want to change it ten times. But in this case, when it's literally just a constant, three letter string constant, there's no complexity here, it's just pulled out so you don't need to have string literals in the test. As far as I am concerned, if these tests were written with the foo-string literal was just embedded in these, I wouldn't have a problem with it, so having the constant duplicated makes no difference to me. So AFIK it's fine to just copy.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So that's simple, we've removed them from this test, we'll get rid of that separator, it's not separating anything, Oh, I guess they have a convention of docing their tests, I'll do something like that over here, utint-tests for stringutils for ..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So now to stringutils-test, we had some other stuff here. And now I'm seeing in the StringUtilsTrimEmptyTest there is this more complex set of constants that gets statically initialised. If I see that these are used then I might extract them since I don't want to duplicate this kind of computation in a bunch of different places. If someone decides they want to change the way the tests work and they only update the one in stringutilstest, it wont be that great. Or, I've noticed that these are actually packageprivate, so we might actually just use these from StringUtilsTest, and some of the others that are private we may just make packageprivate and use them in the new test. SO the SUTilstest class could kind of serve as the common location where the other, more specialist sutilstestclasses get information from.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Let's see, we have isAnyEmpty, this divider so I expect that all the tests I care about is in here. *Counts* 8..down to uppercase,.. that's all the tests I care about. And these are all using literals, so there's nothing to deal with here, so I'm just going to copy these tests, and plop them in here.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And so I notice that we have some tests using literals, and some are using static, and so I don't think this guy is all too useful, so I'm just going to inline that. I don't know the keyboard shortcuts, so I'm just going to .. .Refactor.. Yep. And we have some little silliness here, we don't need to concatenate those strings, we can just .. Oh and I see they're actually using this thing that I mentioned earlier, where they're using stringutils as a testbed. So these were copied from the trimempty test and it was referencing things from stringutilstest, so they're already doing the thing I mentioned earlier. Ok, so these are done, I'll run this test, make sure I didn't somehow break everything.",,Invoke (Inline Constant),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline Constant
I: Is there any other changes you made that you could imagine could have broken things?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No. I don't think so. I did edit these two other files, but all I did was removing test methods, so the only thing that could break there is if one of the test methods were referring other test methods. I'd be very surprised if that happened, but I guess I can run the other file. Why is that .. oh, they were the only boolean assertions, so I guess we can remove those.. I'm used to my Eclipse deleting [unused imports].",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I've actually been noticing that in the scala code I've been working on recently, there's always a bunch of unused imports, even in the tests, I never think to look at the imports half the time.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so I deleted the imports here, it told me they weren't used, but better rerun the tests to make sure it's no super secret thing the IDE isn't telling me about.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Looks good. Probably just run the whole test suite. Should be pretty fast tests, since they're not, you know, hitting the network or anything. Ok, all the tests pass, I pulled out my new test class, I'm just going to commit these in case we touch these files again.",,"run tests 
 git commit",0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I believe I am done doing this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I located the pieces of code that I wanted to move somewhere else; I inspected them to see if they had any dependencies, I found that they did not have any real dependencies, so I created a new test class to house them, I simply cut and paste the code from one file to another file;",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I noticed that I was now was of following two different patterns, where one set of tests were using literals and one set of tests were using constant. I prefer my code to be consistent, so I inlined that constant, so that all the tests kind of looked the same;",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I didn't even look at the content of these, so for all I knew I just duplicated a bunch of tests in this file. Like, I didn't even look at what these assertions were doing. So it could have been the case that this assertions, isBlankNull, were in the asserts from the other file. I sort of assumed it wasnt duplicated already so I didn't check that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Given the directive to isolate these 12 tests, just cut and paste them and inline the constant, 'cause they had no dependencies. There were, no tendrils coming out of this refactoring. the code I was modifying didn't have any knock-on modifications.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What would be an example of a knock-on modification?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Like I discussed earlier, I was taking some methods out off a class and putting them into another class. So if in the original class, the methods were using a bunch of private methods or constants, and I pulled them out, then the most basic thing to do would be to copy the needed constants or methods out.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But a knock-on refactoring that would come from that, is I'd probably not want to do that duplication, so I'd probably take those constants or methods, refactoring them perhaps into another utility class, or just make them visible so they could be accessed from the new class in the originating class, and so that's kind of, that wasn't part of my goal, but to facilitate that goal I would do an additional piece of refactoring work.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: would you consider that part of the overall refactoring then would it be separate?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would not want to do them separately, I would want to do them at the same time. But I could accomplish the original goal without doing them, so in that sense they are additional.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: You said there weren't any real dependencies, were there sort of dependencies.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Context?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: You said you inspected the code you wanted to move, and there weren't any 'real' dependencies.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"oh, so the only dependency was this constant, so this code isn't self contained in that it relies on this constant. But this constant is not real, so what I meant by that is I guess, that it's not important, it's not somthing i had to wrestle with. I just copied the constant; there's no real impact of doing so. And then later, I found that I copied the constant, and I don't really want it any more so I just inlined it. I could remove that dependency without any thought. Removing that dependency doesn't really add any complexity to what I'm working on. And so in that sense its not real in that it is not impactful.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated any of the changes you made?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I do know that IDEs often provide class extraction tooling and I've never really used them that much. Especially since I'm not that familiar with IntelliJ, I chose to forego the automated tools that may be present, but I guess there may be tools that could, like, I could probably select one of these methods, and there might be like, yeah there's a move, so that probably would do what I wanted,",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"but when the task is this simple, and I'm unfamiliar with the specifics of what this does, I don't want to do it, because it might do something that is kind of not what I want, and I might backtrack and copy it anyway. I know there is -- so I used Eclipse for like 8 years - and i used the more basic refactoring tools in eclipse a lot, so renaming, extracting variables and methods, changing method signatures, it has a bunch of nice little tools for that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But there were some sort of extract class method functionality, and whenever I did it it would do something very strange, and it was never what I wanted, so I stopped using it.","Reflection
Not Effective (“would do something very strange”)",,0,1,0,0,0,"<0,1,0,0,0>",0,60-60,0,0,0,0,0,0,1,0,0,0,
I: Do you remember what it did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Not really. It would create a class, and the class that I extracted it from.. they would be kind of cyclicly referencential in way that I didn't want, and I didn't really spend too much time figuring out why is it doing this, because it wasn't what I wanted ever, so I just kind of said I am not going to use this tool.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you ever try configuring it to not do that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"it was never worth it. The kind of operation - extract superclass maybe, I can't remember - something that create another class, and it never did it in the way I wanted.","Reflection
Not Satisfaction (“never did it the way I wanted”)",,0,0,1,0,0,"<0,0,1,0,0>",0,64-64,0,0,0,0,0,0,0,1,0,0,
I: There is an interesting Extract Class refactoring,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The IDE refactoring tools I used a lot in Eclipse were all scoped to the class I was working on. If I created new classes I tended to do it manually.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"When I started out, I didn't use any ref tools cause I didn't know they existed. For the tools scoped to a single class, like rearranging method signatures, extracting constants, fields, variables, those kinds of operations, I felt like I got an immediate boost in productivity by using them and they were very predictable. It was obvious just from looking at what it said it was going to do, I click on it and it does it, it did what I would have done manually, and it did it faster. For any refactoring that was more complex than those, maybe I did it once or twice, it didn't do what I envisioned that it would do, so I had a miss of expectations there, and it didn't increase my productivity, it got in my way, by doing something I didn't want.","Reflection
Efficient (“immediate boost in productivity”)
 Predictable (“they were very predictable”)
 Effective (“it did what I would have done manually”)",,1,1,0,0,1,"<1,1,0,0,1>",0,68-68,1,1,0,0,1,0,0,0,0,0,
I: What did you have to when it did something you didn't expect?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would just click undo and it would go away. and then I'd go from there. I've been writing code for long enough to know that I can do this manually, and I can do it reliably manually, and it takes longer than it should, and I'm sure there would be a tool for it, but I was capable or fast enough to do it manually, to feel sure that it wasn't necessary to figure out this other tool to deal with it, it was never a need.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The only ref tools I used all the time I could look at them and say oh that's useful. Anything that required me to get on its level to figure out what it is trying to do, I just didn't really bother with.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you ever encounter any strange behaviour in the local refactorings you mentioned? [28:09],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, there can be some problems where.. I guess not really strange but it wouldn't always do what you wanted, for example when extracting a local variable. For example, if you have a repeated string constant or something, or you call three different methods with the same input, and you extract that, I can't actually remember if it would Extract all or only the ones you selected, but sometimes you want one of those and sometimes you want the other. If the thing you're extracting actually has side effects, and you extract three invocations, that actually changes behavior so it is no longer a refactoring, so sometimes you want one and sometimes the other, and it would only do one of them. So sometimes I wanted to Extract 5 instances and it'd do only one, and then i'd need to go and replace the others, or if it extract more than I wanted I'd need to go and put back the ones I didn't want in the place they were extracted from. Otherwise I felt it was all pretty reasonable.","Reflection
Not Effective (“wouldn’t always do what you wanted”)",,0,1,0,0,0,"<0,1,0,0,0>",0,73-73,0,0,0,0,0,0,1,0,0,0,
I: You still kept using the tool even though you encountered that undesirable behavior?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I guess I encountered it rarely enough and it was still faster to use the tool and correct it - or I don't even know if it faster, but it felt better - it's all just a matter of perception - it felt better to use the tool, to just hit, whatever it was cmd + shift + l, type a name, hit enter and maybe.. it was something like 90% of the time it did what I wanted, and 10% of the time I needed to go copy paste something or delete something, and it worked really well.","Reflection
Effective (“worked really well”)",,0,1,0,0,0,"<0,1,0,0,0>",0,75-75,0,1,0,0,0,0,0,0,0,0,
"Conversely there's the Inlining tool in Eclipse, and when you do that, it will ask you, do you want to inline .. so you can select either the field you want to inline, or the instance (call) you want to inline and it will ask you, do you want to inline all occurrences or just this one occurrence, do you want to delete the field, stuff like that, and that workflow worked really well, and I guess for extract variable workflow worked less well.","Reflection
Effective (“workflow worked really well”) and Not Effective (“workflow worked less well”)",,0,1,0,0,0,"<0,1,0,0,0>",0,76-76,0,0,0,0,0,0,1,0,0,0,
"I remember a specific workflow I dealt with quite a bit was .. there is like a convert variable to field refactoring, which I've used mostly in tests a lot. Often you'll have tests set up code, and so you'll have 30 tests and 25 of them initialise some variable and use it, and so you're like, ok, they're initialising it mostly to the same value probably, so you extract it to a field, and the tests that don't use it don't use it, whatever, and you save 20 lines of code. so In doing that I found that I wanted to for example move the actual assignment of that value into a before-block or something like this, and the refactoring tools weren't aware of that I was doing this as part of a junit test that had beforeEach blocks, so it didn't reason about that. So I'd have to do that kind of cleanup after. What I'd really wanted to do, is to turn this variable into a field, initialise it somewhere else - because that's maybe the pattern in this class is everything is being initialised in the beforeblock instead of as the fields, and so it didn't always have - like the ref tool of course is not 'intelligent', it doesn't have all the context and it doesn't know what I'm going to do, so sometimes they would slip there as well.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you expect the tool to behave differently because you were in the context of a test?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It wasn't an expectation, but it was an aknowledgement that .. I never expected it to do exactly what I wanted, but it was close enough, like it would do the first 80% of the work and then I would do the last 20% of the work. I was never like, ah, Eclipse why didn't you do exactly what I wanted - except in the case for that class refactoring where I didn't understand what it was trying to do; if I had taken the time to understand what it was trying to do I probably would have found a use for it, but it never felt necessary to do so.","Reflection
Efficient 
 (“it would do the first 80% of the work and then I would do the last 20%”)",,0,0,0,0,1,"<0,0,0,0,1>",0,79-79,0,0,0,0,1,0,0,0,0,0,
"I: I'd like to ask you about this term you used, predictable; can you elaborate what you mean by that in the context of refactoring tools.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Kind of more, broadly in the context of any tool, if there is a butten that says it's going to do something - of course it is going to be extremely brief in what it's going to communicate to me: it will just say ELV, or you know, convert variable to field, and I read that text, and I form in my mind an idea of what's going to actually happen; 'cause it's not going to actually say, extract the text to this line, and trunkate this part of it, or whatever; it's not going to describe it precisely because that would be ridiculous - so I have to form an idea of what it's going to do, and then if I invoke that action and it does exactly what I expect it to do, then I'm happy, because it was predictable in a way; but really what that means is, i was able to predict it. The predictability is a communication process, so it's not necessarily the case that something was unpredictable, it's that I failed to predict it. And if I consistently fail to predict what an action will do, I'm not going to want to use it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: In the case of your tests, you'd looked up the refactoring menu and you found this Move action, what would you predict that it does in this context?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm actually not sure, because it just says Move. it doesn't say move to a different cass.. for all I know that could just reorder the methods textually int he class. My prediction is that it would prompt me for a class to move it to, and then it would attempt to move it, and that attempt may succeed or fail depending on what the method is referencing. So it may prompt me for additional action in a failure case there. But I'm not that confident in that prediction. I found that because we were talking and maybe something could have done that for me, so I'd try it out and if it was something entirely different I'd probably never try it again.","Reflection
Not Predictable (“I’m actually not sure”)",,1,0,0,0,0,"<1,0,0,0,0>",0,83-83,0,0,0,0,0,1,0,0,0,0,
I: Have you ever tried Move Method?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not in IntelliJ.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: In eclipse?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Maybe, probably?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you ever do that manually?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't find that I very often move methods between classes. I don't find that to be as common an operation unless you're splitting a class into two, or something like this. That happens every so often, but I find that usually when you're doing such an operation; like maybe your task is refactor a class into two separate classes, or maybe you're extracting a superclass and you're going to have two subclasses now instead of one subclass, usually there are other things that needs to change, you're not just doing a move, you usually need to rethink things that are more intricate. So I guess my base assumption is that refactoring tools are not going to do the more intricate things that I'm eventually going to need to deal with, so I guess I just don't bother with them.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm guessing this move method functionality these IDEs have, it probably does something reasonable, but the reasonable thing it does is something I don't do that frequently, so I'm probably never going to learn to use the tool. Whereas I find that extracting a local variable for a literal or a chain of invocations, that's not a challenging thing to do manually, but it's something I do frequently enough that I want it to be as painless as possible.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I guess it's two ends of the spectrum for someone to want to use a refactoring tool: and the spectrum I fall hardest on is how frequently do I do an operation, and the other end is, how complex is that operation. 'Cause automating complex operations are obviously of great value, or seem to be, but the reliability of automating complex operations are much trickier to get right. I trust the simple things I need to do frequently, and I drive good benefit from making the simple things even simpler.","Reflection
Trust (“I trust the simple things I need to do frequently”)",,0,0,0,1,0,"<0,0,0,1,0>",0,91-91,0,0,0,1,0,0,0,0,0,0,
[37:42] T2,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[38:00] I’m guessing .. these are just negations of one-another, so we can remove the negated versions, keep the original versions, and consumers can just negate their usages.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Any invocations would need to be dealt with. So what I'd like to do, is look in StringUtils, look where these are used -- I expect there could be other parts of the string library that could be using these anynot methods - and then depending on the implementation of the anynot I may just be able to inline them; so if the implementations of anynot just refers to isAll then I'd be really happy to inline that, because it'll just shove the desired invocation into the invocation of the methods I'm getting rid of. And then, what I'd do, is locate the tests of these methods and delete them, because we're testing allEmpty and allBlank, so yeah. That's what I'll do.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[40:00] Go to stringUtils. isAnyNot. Ok, so it's the opposite of what I assumed. I assumed that isAllEmpty and isAllBlank were the base implementation, and the anyNot were derived from them, but it's the opposite. So what I'm going to do, because I do want to inline these in case there are other invocations. I want to see if I should swap these",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I could copy the implementation of anyNotEmpty into isAllEmpty and redefine isAnyNotEmpty isAllEmpty. But first I'll see if they're referenced anywhere outside of this, because if they're only referenced in the tests and string utils, then I can just inline it, I don't need to swap and inline it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Alright, so StringUtils use them and they are used in the tests. Check isAnyNotBlank, find usages, and again, only referenced in StringUtils, In one spot for the negation, and in the tests. So now my plan is, I'm going to delete the tests, and then I'm just going to delelete the isAnyNot-methods, and then they'll be inlined into the isAll-methods, and then I think I'm done. Alright, so we have my empty and blankTest and any empty, just delete the anyNotEmpty. nd anyNotBlank. Now all .. will this rerun my find? Oh look at that, that's cute",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I can see they're only used in stringutils. So now I can inline this.,," 
 Invoke (Inline)",0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline
"Ah, not supported when return statement interrupts execution flow. I don't know what that means. But I'm guessing it's because this [!] is here. So what I'm going to do is extract this get a result value and then I'll probably be able to inline this.","Invocation
Not Predictable (“I don’t know what this means”)",Invoke (Extract Local Variable),1,0,0,0,0,"<1,0,0,0,0>",1,99-99,0,0,0,0,0,1,0,0,0,0,Extract Local Variable
I: Can you please explain that one more time?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I attempted to inline isAnyNotBlank. The IDE told me I'm not allowed to do that, because, here's an error message that I didn't really understand. But my best guess at what that error message migth mean is that it can't inline it because this negation is mutating the return value, so what I want to do to basically test if that's what's happening is I will eLV for the invocation, and then I'll be returning not the invocation, and I expect I'll be able to inline it when I am just assigning it to a value.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, we'll just Extract Variable, oh I want to extract the not negated value; I'll just call it result for now 'cause I'm not expecting I'll keep this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you're just doing this to kind of debug your process?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ultimately I want to inline isAnyNotBLank. It didn't let me do that, so I figured if I changed the code to work in this way where it wasn't negating the returned value, it would let me inline it. So I'll inline it here, and then I'll see if I maybe want to get rid of this result. So inline that, no ok it doesn't like that.","Invocation
Not Satisfaction
 (“It doesn’t like that”)",Invoke (Inline),0,0,1,0,0,"<0,0,1,0,0>",1,104-104,0,0,0,0,0,0,0,1,0,0,Inline
"Inline interrupts the execution flow. So now I'm going to have to go look, and I'm guessing the problem is in fact that there's multiple return statements here, so it can't inline this. But at this point, now that I'm in isAnyNotBLank, and i know that I'm just negating the return value, and it just has three return statements,",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I could just copy this code and change the three return statements to be the opposite. So I've tried to use the tools, it didn't let me do it, I was wrong about why it didn't let me do it, but now I look at it, and I see that it can't inline multiple return statements, because that's, it makes sense, but I want to negate the functionality of this, so I can just negate the return statements.","Invocation
Not Efficient (“I can just…”)
 Not Effective
 (“tried to use the tool and it did not let me do it”)",,0,1,0,0,1,"<0,1,0,0,1>",0,106-106,0,0,0,0,0,0,1,0,0,1,
"So now I'm getting back, can just delete all of that, getting rid of all of this very nicely written documentation, and now I should have an error somewhere, navigation by errors, always good. I guess I can probably find my .. and now I'll just paste this in, and I need to change these three: false goes to true, true goes to false, and false goes to true. So now I need to do the same thing for isAllEmpty.",,Manual Inline,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, isAllEmpty does the same kind of deal here, it's negating the returnValue from isAnyNotEmpty, so I'll hop over there and just cut this out .. and delete that, and .. *mumbles* There we go. false goes to true, true goes to false, and false goes to true.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So now I've done this refactoring, I've deleted the tests, so now I'm going to run these tests, because they should also test isAllBlank, isAllEmpty, because they are testing the code that i modified.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Alright, so I'm also going to pop over to stringutils, because I'm just going to make sure that the documentation looks good. Because, since the implementation was referring to the other version, there is a chance the documentation was also referring to the other version. But it looks like it's not. So I don't think the documentation needs updates, this should be implemented correctly, now I'm just going to have a quick peek at this to see if this maybe can be simplified.. ok so if you pass in nothing, ok.. What's the contract here? Should return true. So if you pass in nothing, should return true, if any of of them are empty return false, otherwise return true, so this seems like a fine implementation, there's nothing .. So I believe I'm done.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What code changes did you do in order to solve this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ultimately the code changes I made were deleting tests for the methods that were to be deleted, then copying the contents of the methods that were to be deleted into where they were being invoked, and changing all the return statements in that code, because all the consumers of those methods were negating the returned valye from the methods to be deleted.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
