T1 Ready to start. [03:16],,,Predictable (4),Effective (9),Satisfaction (8),Trust (6),Efficient (7),Vector: ,Invoke (9),Row Range, Predictable (4), Effective (6), Satisfaction (6), Trust (5), Efficient (5),Not Predictable (0),Not Effective (3),Not Satisfaction (2),Not Trust (1),Not Efficient (2),Refactorings
I: But in a more complex one..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Have you used this only for static methods before or for instance as well?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not sure. For instance methods it would be more likely that you are pulling up or pushing down rather than between adjacent classes. I don't know that that is a sensical mutation on an instance method because the call sites would not be equivalent if it's not inheritance related.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes you would need to update those as well.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That's not something you do?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If you are moving a method from one class to another that probably implies that there is a relationship between the two classes you're moving it between so either that's a superclass relationship or an instance field and then you'd be using a different refactoring like trying to introduce indirection or .. it's hard to think about these without motivating example. So like pull up or push down or replace inheritance with delegation or encapsulate field. These are more .. like moving between tests ..cheats because there are no call sites. All calls are through the test runner.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes when you have calls you need to update those.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And that's when the IDE really helps because those are the places where you need to know to update and ideally the IDE can update for you if the transformation is regular. [12:53],"Reflection
Satisfaction 
 (“when the IDE really helps”)",,0,0,1,0,0,"<0,0,1,0,0>",0,42-42,0,0,1,0,0,0,0,0,0,0,
I: And you've used MIM for that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
These are things I have done but I don't necessarily remember the exact tools I have used.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: When you do the copy-past approach how do you keep track of the changes you make?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In git. I can see them here they're nicely highlighted. Once I have done this work I would check the diff and see if it makes sense. I may go this change is clearly unrelated and I don't want it. I should see that my new file has the method in question and the sources no longer do. Which is the case.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are there any of the changes you did that you are uncertain if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The tests pass. The counterpositive is kind of hard here there aren't tests that were failing that I expect will still fail. This was a pretty simple change I'm not worried about it. [14:31],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T2 [14:39],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So isanynotblank is a bad name for like not is all blank which presumably is also in the same file.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ah. I see. Which calls the bad one. So the easy thing to do here is to.. haah.,,Invoke (Inline),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline
So this isn't strictly inlinable because the IDE sees that there are multiple return points which are ..dumb. Because the caller is equally simple.,"Invocation
Not Effective 
 (“this isn't strictly inlinable”)
 Not Satisfaction 
 (“which are .. dumb”)",,0,1,1,0,0,"<0,1,1,0,0>",0,52-52,0,0,0,0,0,0,1,1,0,0,
I: What would you expect it to do here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would expect... so isallblank here. IF it had a single return then I would expect the body of the method above and the value not-ed in here.,,Invoke (Extract Local Variable),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Extract Local Variable
I mean we can do that manually but it doesn't actually help us. Anynotblank.. but this is still not inlineable because it has returns in execution flow in the method I'm inlining. In this case I think it's probably more useful to swap the implementations and then inline one of them in this case because the method we want to keep is not the method with the actual implementation. We want to swap the implementations and then inline the deprecated method. [17:02],,Invoke (Inline Method),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline Method
So ... I mean really what we could do here is introduce an intermediate step. [17:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So this is the method we want to delete. This is just to keep current code running. We can redefine this as not .. what's the other one.. isallblank. Which is the method we want to keep. Then.. [18:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
How do I actually want to do this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are the considerations you're doing now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
My long-term goal is that I want to inline this method. So by keeping this kind of stub implementation of it - stub isn't the right word - I'm preserving it as long as possible so any tests calling it is still working while I do my refactoring. What I want to do is move the implementation into the method I am going to keep and ensure that the tests are all passing and then remove the method I want to remove.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll just fall back to copy and paste because if the IDE doesn't help me that's what I do.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Actually we can do this better. [19:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I should just do what I do.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But now unfortunately I have to think about this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you need to think about? [19:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I have to invert all of the returns here. This is now .. allblank if it's empty. If anything in it is not blank it is not all blank otherwise it is all blank. Now I hope all tests pass.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is this usually how you would have done this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't think there's anything here that felt weird. I don't think I would usually feel this conscious about the activities I'm doing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you usually try to inline it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. I trust that the IDE will do the right thing. [20:36],"Reflection
Trust",,0,0,0,1,0,"<0,0,0,1,0>",0,70-70,0,0,0,1,0,0,0,0,0,0,
If it had inlined it I wouldn't have inspected the body. It would have been inline it would have been done it would have been fine. But because it didn't automatically inline it I had to stop and think ok what happens when I inline the body of this method.,"Reflection
Not Effective (“it didn't automatically inline it“)",,0,1,0,0,0,"<0,1,0,0,0>",0,71-71,0,0,0,0,0,0,1,0,0,0,
I: Would you have inlined this occurrence or all occurrences?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This occurrence. I haven't .. then I would swap the implementation in the other method and then replace all occurrences of it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[21:20] All tests are passing. I trust that I've moved the method correctly. 
 So now isAnyNotBLank we want to get rid of which is only used in tests, only used in one test. I keep this in my context and I can delete the method because it's only used in one place. If it had been used in application code then inline would have been the appropriate next step.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Inline to?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Inline this. [22:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would inline this method to migrate all callers to allIsBlank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So then you would have risk to get a double negation at the call-sites?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes - that's not a bug it is intent preserving. Then I would have wanted to look through the changes do I want to apply a cleanup to any of the inlining. But that is the next step to something I didn't do.,"""Reflection
Effective (“that's not a bug it is intent preserving.”)
 Not Trust (“Then I would have wanted to look through the changes”)""",,0,1,0,1,0,"<0,1,0,1,0>",0,80-80,0,1,0,0,0,0,0,0,1,0,
I: Would that always have been your next step?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Look at the change? Definietly.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you find them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Git changes. That's the easiest way to find them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I was worried about where they were being used... my first step there was find usages. I might have inspected things before doing the inlining to understand what context it was being used in. Depends on the complexly of the method being inlined. [23:03],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That was one. There is another one here. IsAnyNotEmpty. Presumably this is going to follow a similar pattern. [23:21],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's got one test and one usage which is the inverted function. So here I am presuming that again I can't inline it because the logic isn't smart enough to do that. But because I'm doing the same thing again I'm not going to bother with the intermediate step. I forgot where I was going.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
cause this methods has its own tests that I trust will validate my change. So isanynotempty Is all empty ..,,run tests,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This..only has one callsite. Which I will delete. remove the implementation. And I'm done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Why does this say there's an error?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It may just be sick.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
While that is running I can read my changes and see if I'm happy with them.,,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
removed one method,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
inlining it,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
removed one method into the other,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
and removed both of their tests,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
if I was doing this properly I would have committed after the first task. [25:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Tests pass. I assume this is done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Which source code changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"First step was to understand the relationship between the deprecated method and the method that should remain. After finding that the implementation is in the deprecated method and the new method is just a negation of the result of the old method move the implementation to the new method.. basically swap the implementation of the new and old method. Checked for call sites to the old method. Would have inlined, there weren't any, delete it. [27:13]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any part of this you're unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I didn't examine the test cases. I assumed they were of high quality. Generally deleting test cases are bad. I would not have deleted the old test cases if the new method didn't have equvalent test coverage. Without looking at it in detail it looked like they basically had the same test method copy-pasted. I trusted the test coverage would remain if I deleted the old method. I trusted the coverage would remain if I deleted the old test.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you essentially did a manual inline right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you describe the steps you took in order to do it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I couldn't use the automated inline because there were returns in the middle of the method I tried to inline. I could've tried to refactor that method in place to have a single function exit point because then it would have been inlineable and the negation would have been trivial to apply on the last return point. [28:35],"Reflection
Not Effective (“I couldn't use the automated inline”)",,0,1,0,0,0,"<0,1,0,0,0>",0,106-106,0,0,0,0,0,0,1,0,0,0,
instead I inlined the whole function and - I forget the word - instead of having the not outside put the not inside each of the returns. [28:49],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
which works for boolean return values. Doesn't necessarily work for more complicated structures.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If the inline function would have worked and done the same thing you did would you have been happy with that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. I would have been happy to do less work. I think if it had inlined it with a temporary variable and then negated the variable before returning then that would have been a sign that there needed to be some manual cleanup before calling the task done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I want to spend some time on that. You mentioned the workaround with the variable. But that would run a little differently.,,(Tests would have failed),0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes because you would have to explicitly would have to - say internal code flow instead of external codeflow - to say stop here,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes. So how would you have liked that result?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm not sure how I would have done that in this example.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes this is now beyond what the IDE can do. [30:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think that's the same. I'd run my tests to make sure.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Let's try that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So that's a transformation that'd... and yes I'd run my tests to make sure it did the right thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If the tool did that would you look at it and be like yes that's what I wanted? [31:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No! This is much worse than what it was before. It just happens to be inlineable.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What's worse about it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Break is a confusing construct. Early returns are very easy to reason about - in a small method; early returns in large methods are generally signs of other bad things. Here I need to understand all three conditions together in order to understand the result where in the previous form I could reason about them independently which is important to the method being understandable. If IntelliJ had performed that transformation and then inlined it I would have looked at the result and said I'm not sure that inlining was correct and I don't like the code it resulted in. [32:22],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Then would you have done?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Probably what I did copy-pasted,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You would have undone?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. [32:34],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Probably in other languages this would have been simpler. In an imaginary language where you can non-local - like how do you have a return inside the function that isn't the function's return. Like that'd be some kind of expression object or expression construct that Java doesn't have.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Refactoring tools should leave code looking like a developer wrote it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What does that mean?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Maybe that's just expressing what I said further back. Which is good code looks like a human wrote it. It looks like it was written by a uniform author with a uniform style and is understandable to humans. Computers writing code typically don't feel the same constraints and so sometimes you can identify computer written code by awkward constructs or strange control flow or whatever. It looks like machine genereated code and it's not what I would like to call the output of my work. If the goal here is to clean up the api it should not have the side effect of ruining the implementation. [34:14],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think that if - if intelliJ had been able to do the refactoring but given me a less beautiful result I would have been ok with it I would have just had to clean it up.,"Reflection
Effective (“if IntelliJ had been able to do the refactoring”)
 Satisfaction (“I would have been ok with it”)",,0,1,1,0,0,"<0,1,1,0,0>",0,131-131,0,1,1,0,0,0,0,0,0,0,
I: Less beautiful being for example what you described?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You mentioned that you trusted the IDE so if it let you do it you wouldn't have checked the body?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Right. I guess there is classes of things I trust it to do well. This is a simple method. There's no name conflicts, there's no multiple scopes interacting I trust that the IDE can do things like that. At least to the same degree that I trust that I can do things like that.","Reflection
Trust",,0,0,0,1,0,"<0,0,0,1,0>",0,135-135,0,0,0,1,0,0,0,0,0,0,
I: We just talked about how the change may change the code would that fall under your sense of trust.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If the IDE moves code and it looks like the code it started from I'm more likely to trust it. Because my mental model of the code hasn't changed it's probably doing the right thing. The more complicated transformations are happening the more manual review is going to need to happen.,"Reflection
Trust
 Predictable",,1,0,0,1,0,"<1,0,0,1,0>",0,137-137,1,0,0,1,0,0,0,0,0,0,
T3. [36:11],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is forceaccess.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Please explain the task to me before you start.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
My understanding is that this is probably using private unsafe-to-set flags to set private fields accessible. We want to make users explicitly opt-in to that unsafe transformation - sorry that's the current state. The desired state is that you cannot set the flag it is always false. That sounds very amendable to automated refactoring tools. The difficulty in applying this change is changing caller not in actually making the change itself. You're removing functionality from the API. The work is going to be in migrating everyone who is using the API to work without this elevated access.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes. So you don't need to worry about that just the code that is present in the IDE.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So looking here I see this static getField method with the extra flag for forceaccess. It's only used once here so if forceaccess set accessible true. So I could do my initial inline here it's always false [38:38],,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
This parameter is now unused. What happens if we just delete the parameter. [38:55],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ah yes. So there's already a shortened version of this method. These now collide. Although.. I think the doc for the previous one ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There are now two methods with the same name and I'm now deciding which javadoc to keep because they say different things. The second one is wrong we will not break scope if requested. so this.. awkward in there.. What I'm looking at here is that the exceptions are different but they're calling the same method so I expect that one of these docblocs are just wrong. Done. [40:09],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
if class is null it'll throw.. is blank it'll throw..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And we throw again..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So it's just that one of the methods were missing the documentation for that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So the refactoring there was magical - I assume it did the right thing but it's a little suspect. [40:50] So in the test,"Invocation
Effective (“the refactoring there was magical”)
 Trust (“it's a little suspect”)",,0,1,0,1,0,"<0,1,0,1,0>",0,150-150,0,1,0,1,0,0,0,0,0,0,
Some of these tests should be failing because they should be testing behavior that is no longer supported. So I should go through and look at the tests. Maybe I should have done this before deleting the parameter cause now it's going to be hard to look at the tests and know what they were doing before. Oops. [41:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you expect the refactoring you used to do this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. I just didn't think far enough ahead to think if this is what I wanted. Probably the right thing here is to undo. Except I can't. [41:51],"Invocation
Not Satisfaction (“I just didn't think far enough ahead to think if this is what I wanted”)",Undo,0,0,1,0,0,"<0,0,1,0,0>",0,153-153,0,0,0,0,0,0,0,1,0,0,
So ...,,Restart (git reset),0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you rolled back all your changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I reverted all my changes since task two. I will inline the other method instead. So now all calls have the boolean parameter.,,Invoke (Inline),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline
I: Can you explain?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There used to be a two argument method and a three argument method. Now every call-site will have a boolean parameter and every call-site with true is now invalid.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Tests should all be passing because I haven't changed the implementation yet but I can go through here and. I'm just looking here. So forceaccess true. It looks like all of these are grouped in one test. Let me think about the word for this.. test method. [43:27],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
All of these forceaccess ones have true.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
These ones also have forceaccess true.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Maybe what to do now is to ignore the flag and go through failing tests. [44:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm not sure that I can search for call sites by argument value by this tool. For that I could write a regex or something and do it externally. If I had a larger code base I'd be more worried about that. Otherwise I would just have to look at every - you know find usages and manually examine every call site to see if it's using allowed behavior or not. Instead I have ignored the flag and I'm going to go through failing tests and go through them and identify them. [45:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looks like this test has forceaccesss true in every case so it's now invalid. We don't support that behavior.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is also forceaccess true in all cases. This is also forceaccess true in all cases. I'm assuming I can delete test cases without worrying about callers because that would be strange. All tests are now passing. That doesn't necessarily mean everything is right. There could be tests that were passing forceaccess true but don't depend on it. Kinda depends on what this is do I care? Readfield also has forceaccecss [46:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
it's probably also one that should be updated. I can come to this one. Wait. I just changed getField. There's going to be a whole bunch of these that all follow the same pattern. but they should all fall back to getField as the bottom of the implementation. Like both read and write will be calling getField I assume to access the field before performing operations. So readfield writefield these both need to be addressed. These are all false false false.. true [47:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is a test with forceaccess true. Which I think is probably duplicated above. We can get rid of this test it is duplicated once we get rid of forceaccess true. Not sure this public child one has a clear parallel. Again this is me trying to decide how much I should trust that test-cases are well distributed. Can I delete all the tests for forceaccess true without reducing test coverage on forceaccess false. Test coverage in this library looks really good; I think I can do that. [48:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I can now get rid of the two argument getField cause all callers forceaccess false or come through readField or writeField which I want to address next. So this is probably next. Readfield has no callers. And.. writeField presumably also has no callers because it seems symmetric.. oh writefield does not have no callers. [49:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So there are some callers to writeField with forceaccess which we're no longer going to support. So I can just .. well. test write field. We have write field tests. We have writeFieldTests that expects illegalaccessexception. WriteField with forceaccess has no callers approximately and can be inlined into the twoargument version. I think that's also what I saw for readField the three-argument readfield has only false callers so I can inline that.. So starting from the bottom I think I want to go back to getField. Now I can do the refactoring here to get rid of the third parameter which is not going to be used because I believe all callers are passing true. This code here [51:00] is now a little wrong. And then address the other callers that have this parameter. And declareField. [51:28],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Here I can see forceAccess is unused because I've changed the signature of getField. Before I do it I will just check one more time. Only ever called with false. So I can,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
