Task 1 [02:28],,,Predictable (3),Effective (1),Satisfaction (0),Trust (0),Efficient (1),Vector: ,Invoke (11),Row Range, Predictable (1), Effective (1), Satisfaction (0), Trust (0), Efficient (1),Not Predictable (2),Not Effective (0),Not Satisfaction (0),Not Trust (0),Not Efficient (0),Refactorings
It is using this tag.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Did all the test originally succeed?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: No, if you had run them before starting they would have succeeded. [1:00:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now i am looking at the changes made to the test class. [1:01:33],,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Right, so this used to be true.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did that change?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Through the safe delete thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you expect that to happen?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, I was hoping for that to happen. [1:01:56]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now it should be back to how it was before and false here.,,Undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So now you are essentially rolling it back and making this into a smaller change?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are you expecting this to be part of your solution or to help you think?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I am doing it to help me think and debug.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm just debugging. [1:04:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm just checking if any changes were made to field.java. The error happens here. [1:05:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Was there a change?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There was no change here. [1:06:09],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm wondering now, the previous tests when the flag was still there - it was using the functionality that the tests provided, but now that it is removed.. I'm wondering if it is expected that they fail because the functionality is not there. Essentially these tests could be removed. [1:06:37]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Like, all the tests that used to be using the flag. [1:06:50]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You're using the git diff now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah... it's not clear in the IDE which of the tests had the flag before that used to be true. [1:07:23],,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Basically the whole test can be removed, because forceaccess is not there so there is no use in testing forceaccess.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you are checking that it was changed?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes - I would assume so - I am just double checking [1:09:05],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Alright, seems to work.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What source code changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I removed the forceaccess parameter from a lot of functions in fieldUtils, and then I removed the tests that were testing the functions. [1:10:44]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you mind explaining in a bit more detail the changes you did? [1:11:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let me go back to the functions.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And if you used any tools.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I used the safe delete functionality of intellij. There were some functions that had the parameter and some logic that used the parameter. So I removed the logic - assumed that the value was false and could remove some of the condition checking that way. Then there were some previous function definitions that overwrote the functions that had the forceaccess flag, so I could remove those as well, because the function definition would now be the same. [1:12:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you check for usages of them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The tool showed me, safe delete showed me that there was another method.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Was that for the method with forceaccess or the other one?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It was also for the method, it was warning me that there were two methods with the same name and definition.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You felt comfortable deleting one of them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah. The other method just called the other one. It was just a simple call - it was easy to see what the function was doing. [1:12:52],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any other tools that could've automated these chagnes. [1:12:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not that I know of.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I am curious about how you organized your changes. You chose to first change this class and then move onto the tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, I forgot about the tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Some of your first changes also impacted the tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, it removed the parameter.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Was that intentional?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, it is what I expected, that if I remove a parameter it would also be removed from the calls of the methods.","Reflection
Effective 
 Predictable",,1,1,0,0,0,"<1,1,0,0,0>",0,160-160,1,1,0,0,0,0,0,0,0,0,
I: Even though the tests broke. [1:13:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I mean .. yeah. It is annoying. It is still something I would expect. Maybe more warnings would be better.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are there any changes you are unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am pretty sure it is fine. There might be.. no I am sure it is fine.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What makes you sure?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I was just - well, if the tests.. there were a lot of smaller tests for one function, and it would test something where this flag is false. Then I would have just deleted it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you decide which tests to delete?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Based on the name. The name was something like test forceacces writeField. Like, everything that had forceaccess in it could be removed. [1:14:59]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You looked at the refactoring menu. What made you look at the refactoring menu and not at the other tasks?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I felt like it would be a lot more work to remove this manually. There might be a lot of other places that use the method, and I would not want to manually delete or change the method call there.","Reflection
Efficient (“a lot more work to remove this manually”)",,0,0,0,0,1,"<0,0,0,0,1>",0,170-170,0,0,0,0,1,0,0,0,0,0,
"I: If you were to do this over again, would you do the same?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"What I would do differently is to change one method and then check the tests to see if they are running, and change the test according to that. I would not do all of this in one go and then go to the tests. [1:15:40]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you still use safe delete?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I probably would.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: When you do these kind of source code changes like in this task, normally, how do you keep track of your changes?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Normally for one class of refactoring I would commit all the changes. Then it is also easier to realise that this refactoring broke some functionality - I can just go back and fix it. Just committing. I think that is the main way to keep track of those. [1:16:29],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What kind of granularity would you use in this task for example.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would probably.. for each task a separate commit. Maybe for task three I would split it up, because it was a lot of changes, maybe per method.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you were to commit per function - would you want the tests to run?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, for each function I changed I would run the tests. [1:17:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you would actually organise your changes totally differently from how you did it now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, pretty much. I would do the changes in the utils class and then move on to the tests, and for each function..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Then commit, then next.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: do you think there would be any problems cross function wise with that. [1:17:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"After every change I would make sure the tests are successfully running, so I don't think so.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I am curious about a couple other options for this. Did you consider change signature?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't think I have seen that one. What does it do..,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
I: You can use the minus or plus,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Does it also update the doc comment?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then it would have been an alternative.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How do you think this one would have worked with usages both in the body and in the test callers?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think it would have done the same thing. The only thing I would have done is removed this one.. does it also show warnings? Yes, I think it would have been more or less the same.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What about inline method? [1:19:08],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are these refactorings you are familiar with?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I have heard of them, but I am not sure.. what inline method.. what is it supposed to do.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: In general it takes the call to a method and replaces the call with the body of the method.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It doesn't remove the flag though.. it would have helped when I had two of the same methods with the same signatures, that I could've just used inline method and it would have been just one of them after that. [1:20:10]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It would have inlined it to the one without the flag.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, the other one is calling it. It might have simplified, but it was just deleting.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You spent a bit if time at some point figuring out which one to delete.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes - because there were like four methods with the same name. So in that case it would have been useful. But if there are just two of them and it is clear that one is only calling the other, then..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: what about in the previous task, task 2. Do you think any of the refactorings would have been useful there?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, probably the inline method. [1:20:56]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you were to repeat it would you consider using it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I probably would consider it. I'm wondering if it also negates the logic of the function. Since I had to like, change the boolean values.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Were you aware of something that went wrong there?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
After debugging yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you think went wrong?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The duble negation. Reading what the method was supposed to do was like the other one. I was not sure if it was actually the same thing they were doing or the opposite thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: *explain the misdirected call error from task 2*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, I was wondering about that, but then I already deleted the code. [1:22:23]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you keep track of that stuff normally? All through git?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, usually.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you consider to check the diff?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I didn't think of git at that point.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Only on the third task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
