I: What are you looking for now?,,,Predictable (16),Effective (4),Satisfaction (6),Trust (1),Efficient (2),Vector: ,Invoke (17),Row Range, Predictable (6), Effective (0), Satisfaction (1), Trust (0), Efficient (1),Not Predictable (10),Not Effective (4),Not Satisfaction (5),Not Trust (1),Not Efficient (1),Refactorings
"Yes, that's probably faster than what I was doing here. I want to try that. Ah, great. I can probably just use git to clear that out, right. I admittedly didn't check - great that looks pretty fine. Awesome.",,git revert,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you're using git to reset all your changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that also a normal part of your approach?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Uhm, yeah. Like, making small commits and - there was an article intentionally contentious - about you should have your test suite either commit or or check out your changes. So you should make a change, run the tests, and if that is successful, you should commit it, and if it is not successful, you check it out immediately, which - again, not an actual suggestion, but a delightful experience. Ok.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So let's go here and copy this, look at it go, ...blankTest,",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm ok, ...ok, I was worried I made the IDE sad.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok so that's from the stringUtilsTest. So that's going to be the reduction.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"anyEmpty, IsAnyEmpty, IsAnyNotEmpty, IsNoneEmpty, IsAllEmpty, IsAnyBlank, IsAnyNotBlank, IsNoneBlank, IsAllBlank",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This test I don't need. This test I don't need. Oh man there are so many. Ah I should have checked that first before going with this copying.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What is that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would have checked how many tests were in one file before going with the copying strategy.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would that impact your strategy decision?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If I make a choice based on, I think it'll be faster if I do it this way, then I should probably have measured what I was going to do first. So I verified that there weren't actually any helper, private, methods in there.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you verify that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
By going through the structure of the test.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And I see that there's still a whole bunch of orange sad marks here, but there's nothing red, so it still compiles. at the very least. Lest go to the top of the file and hit ctrl + shift + r to run the tests. It's compiling everything ... that's all fine and dandy. it's going to complain about - can be private, I'm sure that's fine, and stuff that's never used.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ah, really? I would have expected it to say, I could remove all the unused things for you, but I don't see that there. No. Ok. Well, before I do that, I'm going to take a look at the StringUtilsEmptyTrimTest. Test one - let me not make the same mistake again. What kind of stuff do we have in here. [20:11] Type migration, make static. No. That's really frustrating.","Invocation
Not Satisfaction (“That's really frustrating.”)",Invoke (Move),0,0,1,0,0,"<0,0,1,0,0>",1,46-46,0,0,0,0,0,0,0,1,0,0,Move
I: Why is that frustrating?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The - again I don't really know what it means when it says candidate variables. Having the different types that aren't in the project, that doesn't mean too much to me. Like, I understand the thing about the type in theory, but what types are in the project. [21:14] Making it static and then moving it - like sure, let's try this. Sure. But I don't need it to be a static method. Okay, so, let me - before I make any changes there, let me be happy with my brand new file there. I know there are some trailing whitespaces they were already there. Ok.","Invocation
Not Predictable (“I don't really know what it means”)",,1,0,0,0,0,"<1,0,0,0,0>",0,48-48,0,0,0,0,0,1,0,0,0,0,
"So this is StringUtilsTestEmptyBlank Great. That's, I'll just be me for that commitmessage there.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It prompted me to fill in my git name and author. I don't care about that for the purpose of this task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Great, so before I proceed further with the trimEmptyTest, let me actually go and remove them from the stringUtilsTest. Great. They were the first several ones. anyEmpty, IsAnyEmpty, IsAnyNotEmpty, IsNoneEmpty, IsAllEmpty, IsAnyBlank, IsAnyNotBlank, IsNoneBlank, IsAllBlank",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Great.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, and then all of these tests pass still, hopefully, they should I didn't remove anything else. There are so many errors here.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Warnings right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, that's what I mean. It's pretty distracting.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Yeah, I could have changed the settings for that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I like my code be free of errors. So that like, it doesn't tell me much of the entire code is under warning.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"One, two, three, four, five, six, seven, eight. Perfect, and those are the right eight. [24:50]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Awesome. So let's go take a look at TrimEmptyTest. We want to move these four methods. They're only using stringUtilsTest. They are using a StringUtilsTest.whitespace there. That's fine. They are not using - they are using foo. Ok, great. So if I'm moving them into my isEmptyOrBlankTest, let's go .. let's copy these four into this. Let's run all of these tests right now before I tweak anything. Ok, nice.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, run the tests one more time. Just moved the - that's ok; that shoudl be ok. So we should be able to take these out here. Nope, I need the foo, forgot I had the foo selected. Awesome. [27:17]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There are so many of these that are never used. Ok. I don't think I need to test the constructor in here. That's not part of it, right. [28:19]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so move methods from stringUtils empty or blank test - nope, emptyTest.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, I think that I have completed the first task.",,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What code changes did you do in order to complete this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I moved individual test methods from one class to a brand new class.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: You tried to use some tools for this, but that didn't really work out. Would you usually have used tools?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Usually yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: I'm curious about how you changed your strategy: you first tried one way, then you decided to change, why was that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The first strategy, where I tried to move individual methods over, did not work as I was expecting, so I decided to change it.","Reflection
Not Predictable (“did not work as I was expecting”)",,1,0,0,0,0,"<1,0,0,0,0>",0,70-70,0,0,0,0,0,1,0,0,0,0,
I: Can you elaborate?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Sure. I could have sworn remembering to use that particular refactoring tool to do the task that I wanted to do. And the error message I received did not make sense to me. I probably should have asked you if like, querying what that error message was would be within the params of this particular setting.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So at some point it seemed like you made your decision to actually change your approach. What was the factor that actually made you change that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"One of them is the desire to complete the task within a certain amount of time. Rather than chasing the move tool or, maybe I'm not remembering that that's the right tool that I used last time, and I could track that down, but having thought of another approach - part of my main goal is to not need to do things, like, to not change behavior. Like, when I'm copying and pasting code around, I want to make sure that any relevant helper methods, or any relevant fields, or any setup or cleanup also are copied over. I don't want to miss those or leave them behind unnecessarily. So I would hope that if I have a test method, or four test methods, and those methods use a shared private helper function, and none of the methods in the original class use that helper method, then my refactoring tool would know to also move that fifth method over.","Reflection
Not Efficient 
 (“the desire to complete the task within a certain amount of time. Rather than chasing the move tool”)",,0,0,0,0,1,"<0,0,0,0,1>",0,74-74,0,0,0,0,0,0,0,0,0,1,
I: That's something you would like?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's something I would expect, yeah. Rather than, if they're invoking a private method, and I want to move them into a new class that's only going to function, if I also move over that private method, otherwise my code is not going to compile.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: That's true, or you could increase the accessor.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Sure, but that involves changing what other classes has to know about the initial class.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: even though no one else refers to it, so it would it wouldn't change behavior",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Sure, but it changes the understanding, right. It would violate the interface segregation principle. If I need to increase that from a private method to a public method. Like, again, these are test files, no one is calling into the test files, no one cares about the test files, but like, from a general OO perspective, if I have additional public methods that like, really could be private methods, or could be public methods of other classes potentially. Like, having them as additional public methods in my original test class, is that like, why is that public, what's going on here, do I need to care about it, if that signature changes, do my code need to be recompiled, even not concealing that method directly. Like, increasing its visibility, for a few different reasons, isn't the approach I want to take there. I would want to move it into the new class if nothing in the original class is referencing it. If parts of both classes would want to reference that same private method, then like, great, that's a great opportunity to extract it into it's own, separate self-contained class.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you expect the tool to initiate that as well?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Would I expect it? No, because that sounds like some secret next level tech. Like, that would be smarter than any refactoring tool I have used.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you were to normally do this, or similar kind of task, how would you normally organise the code changes you did?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What do you mean by organise them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you keep track of them? For example now I saw you were switching between this window and git - is that part of your normal workflow?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, that's part of my normal workflow. I also do like keeping - as soon as there's more than a few different things to do, specially if I'm doing a few different refactorings at a time - I like to keep a list of what I'm working on, and like, let's complete this refactoring before I go to another separate or tangental refactoring.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: An actual list?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"On paper or digitally, depending.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How does that work?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It can be as simple as pulling up a notepad app, I don't need to save a file or anything like that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The fact that you have them already printed out and written down is great, it saves me from writing them down.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I'm curious about your decision to use git to reset the project rather than undoing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Sure. Yeah, that's a fair question. When undoing there's, like I know IntelliJ keep different undo buffers for each file I keep open, and I knew that I had a few files open at that time, so I could either remember which file I was in, even though it's written down, even though I know what file it is, but like, generally, if I have a choice between that. I've moved things between a few different files, I've created a new file, I wanted to start from scratch from a known good state. I could go through a few different undo steps in my IDE, or I could rely on the tool - like git - I came from a good state, it's very good to revert back to my past command.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T2. [38:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"...bloats the API and are awkward to use with the double negated names - that's very true.. 
 Uhm.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: You may look around before you form your plan, but I'd like to hear it before you start changing the code.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok. Let me go to the StringUtils.java, Look at how big that structure is! isAnyBlank, isAllBlank.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't really know why I need to locate those two methods if I am removing the other two methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That's fair. You may move on.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, I have located them. They refer to isAnyNotEmpty and IsAnyNotBlank. How embarassing.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"In order to remove these methods, I am going to make sure that.. So these are public methods, these are in a publicly used library and all that, so I'm going to assume that we have issued deprications and all that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: You don't have to worry about clients or other users, you just have to worry about this particular codebase.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok. So if I am removing methods I want to make sure that the tests are ok with me removing them, and I want to make sure that the production code is ok with me moving them.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you refer to as production code?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not test code. Things that would run in production. Assuming that you're running your tests in production.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"We first need to make sure that no parts of the production code is referencing this at all, to make sure it's safe to remove. I plan on - an easy way to do that, assuming I don't care about external clients and things like that - is to just inlining the methods. I know that IntelliJ lets me inline methods with all of its occurrences and/or keep the original",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Which option are you planning to use?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[41:31] Normally initially I would - it depends on how many occurrences there are. If it's like one or two occurrences i usually say like, fine, and get rid of the original as well - BUT in this case, I'm going to want to keep the original as well, because I think these methods are tested. And if I find - oh man, there are so many tests, I can't just cmd+shift+t. so sad.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So that's me using the shift shift to find everything, and I'll see if there is a method for testIsAnyNotEmpty. So I can't just inline and remove because my tests won't compile. I don't want to like change my production code and change my test and then run my tests and see if everything is fine.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"A lot of my work is in ruby, so I can get away with not having things defined when I make statements like that. And then, so I would do that, I would keep this, then I would remove the body and see that the corresponding tests fail, and then I'd feel comfortable removing - like if only the tests for isAnyNotBlank fail - then I am comfortable removing the whole method definition and the tests themselves.",,Invoke (Inline),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline
So Inline Method refactoring is not supported when return statement interrupts the execution flow. So sad. [43:31],"Invocation
Not Effective (“not supported”)",,0,1,0,0,0,"<0,1,0,0,0>",0,111-111,0,0,0,0,0,0,1,0,0,0,
"I mean that makes sense to some degree. I know that this refactoring tool, whether it is java or like rubyminds version, gets sad and confused when there's a few different return statemtemt. This itself refers to isNotBlank, which I think is fine, we're not touching isNotBlank. So, how many usages are there of this -","Invocation
Predictable (“that makes sense to some degree.”)",,1,0,0,0,0,"<1,0,0,0,0>",0,112-112,1,0,0,0,0,0,0,0,0,0,
"I: By the way, how did you expect the inline tool to actually inline this, or did you expect it to fail like it did now?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[44:30] I hadn't expected it to fail. I had expected it to pop up the dialogue box asking keeping or removing and when it tells me the return statements make the execution flow confusing and I can't do it automatically I go like, yes, that is concern that you have.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Let me split these vertically so I can take a look at - this is anyNotBlank - I want to keep isAllBlank. Nope, not there.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Right. Ok. 'Cause it's going to be tricky to line it potentially, here.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why is that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[45:43] I can understand why the different return statements and having the returns inside the for loop would make it difficult to have a cute little inline here, that's not really awesome. Uhm. I could be really cheeky and just drop visibility for this.","Invocation
Predictable (“I can understand why..make it difficult “)",,1,0,0,0,0,"<1,0,0,0,0>",0,119-119,1,0,0,0,0,0,0,0,0,0,
"I: Yes, that's correct, but for the purpose of the task I would prefer that you solve it in another way.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Fair.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that what you would do btw?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, no!",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah. IsAnyNotblank being functionally equivalent to isAllBlank,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Uhm.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[47:25],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, let's look at the structure of the method in order to help us break this down. We start out by checking, is the thing actually empty itself. Heck, rather than guess. It's in arrayUtils, so, the length it zero, it's a char sequence so that makes sense. It's a series of charsequences?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: it's an array of charsequences.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah. So if that's empty, it is false. And then we go through all the different charsequences and we ask if any of them are not blank, we return true. How surprising. it's almost as if that's what it says on the top. Failing that we return false. Gotcha.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So then we say let's return not is any not blank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm trying to see what we can do in order to untangle the multiple return statements to see if we could .. let me find that error message.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
is not supported when return statements interrupt execution flow.,,Invoke (Inline),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline
"It slightly changes mechanics if we extract the return value into a variable and just have a single return at the end of the function. It changes it because we are then invoking isNotBlank more times than we potentially need to. I would probably make a judgement call as to whether that is ok or not, whether I am fine with that - at least temporarily. I would then be able to extract that local variable and then extract it into a single return and then i would be able to inline it. But does that change semantics too much for what you'll like?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: No, not at all - you can do whatever you like.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, just to make sure that I understand that this is actually the issue here, I'll cut it, and check if I can inline it. Ugh, still not happy with that. Even thought both of these return false and it doesn't actually matter. [51:10]",,Invoke (Inline),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Inline
"Ok, cool. No wait.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, let me also test my .. let's do this.. sorry, parden by, I'm type inept, in java",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: boolean,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
thank you. great. Just making sure that this is actually the issue.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: So, are you doing this change because you think it will help move you directly towards the solution, or to help you think.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's to help me understand why I can't use that particular refactoring.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you are essentially debugging the refactoring tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
A little bit yeah.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"What am I doing wrong here? Again, this might be .. I don't know if this is java. I would expect for this to save to that local variable and then return that local variable.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Yeah, I don't know why that is not working.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's fine, it just takes a second. Ok, how exciting. This is more what I expect, this inline all, and remove the inline all. Which makes sense. And I preview it, cool to see the implications, one here, one in the test. Which is cool, that makes it easier. Ah, do I really want to do it in the test? Just yet?","Invocation
Predictable (“This is more what I expect”)",Invoke (Inline),1,0,0,0,0,"<1,0,0,0,0>",1,146-146,1,0,0,0,0,0,0,0,0,0,Inline
"I: Sorry, I'd just like to hear why did you cancel that one?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, sure. I cancelled it because I don't want to inline it into the tests. I want to come back here and think about why my next move was going to be. Understanding that it's still there, I can still choose it at this point, and I don't lose anything there. I could however just hit the delete key at this point and just not do this. I'll do that refactor, and remove my redundant imports. That's fun.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What was that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ending up with the delightful return not result - which is what I expect considering what the structure of isAllBlank was. So I could at this point put back in the multiple returns, which is probably what I'm going to do, because this is basically the state I want it to be in. I don't have a clever automated way to inline the negation. So I can do it here.. And then I want to - where is this being used - it's being used in this file, in this test file. Great. Awesome. Right there it is. Cool, let's run the tests and see if it works. [56:07]","Invocation
Predictable 
 (“which is what I expect considering what the structure of isAllBlank was”)",,1,0,0,0,0,"<1,0,0,0,0>",0,150-150,1,0,0,0,0,0,0,0,0,0,
"Oh, that's terrible.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What's that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to do some undoing right now.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I inlined the method, and I said don't bother inlining it in these 9 occurrences. And the refactoring tool said fine, I'll leave you with this broken code base.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And that's not what you wanted?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's not what I wanted. What should have done I guess, was to intentionally keep the original, then on the like, second completely different page, where the panel pop up at the bottom with the find results - not the find, whatever it is -","Invocation
Not Satisfaction (“That's not what I wanted.”)",,0,0,1,0,0,"<0,0,1,0,0>",0,157-157,0,0,0,0,0,0,0,1,0,0,
I: Usages?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, exactly. like then, say like, here are the nine occurrences I don't want you to change. But I had already committed to inline and remove by the time I got to the ones at the bottom, the preview panel at the bottom, and I was surprised by that. I was surprised by this inability to resolve this method. I wouldn't expect my refactoring tool to leave me in a state where my tool does not compile.","Invocation
Not Predictable (“I was surprised by this inability to resolve this method.“)",,1,0,0,0,0,"<1,0,0,0,0>",0,159-159,0,0,0,0,0,1,0,0,0,0,
