"Let me see if I can figure out IntelliJ. First step - that's actually something I haven't played with, since I'm an Eclipse guy from history. I just need to see if a couple of things works like I'm used to.",,,Predictable (11),Effective (5),Satisfaction (6),Trust (7),Efficient (3),Vector: ,Invoke (11),Row Range, Predictable (6), Effective (2), Satisfaction (1), Trust (6), Efficient (3),Not Predictable (5),Not Effective (3),Not Satisfaction (5),Not Trust (1),Not Efficient (0),Refactorings
"One thing that I do find interesting in this is how these seem very related - because it's trim empty test versus just empty - so there will be something about whether it actually make sense to abstract them out, or if it makes sense to move them all here and rename the class. But without digging into each and every one, we'll just stick with moving each of those tests.",,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
I: So that's a design decision then?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Exactly. I want to do that. Does that actually work the way I want it to? Ah, yes.
 I: What happened now? 
 This isn't able to easily refactor it, because of course it's using a local - global - variable, so it cannot actually move the method without taking some information or exposing it across the two test classes.","Invocation
Not Effective (“This isn't able to easily refactor it”)",,0,1,0,0,0,"<0,1,0,0,0>",0,14-14,0,0,0,0,0,0,1,0,0,0,
"I: So, just to clarify, the error message was about using that variable?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, that's what the error message said, it wanted to make it public so it can move it across and be able to reference it. Because the only other way to do that is to copy the variable and get duplicated code across. But again, whether that should be opened up to be something that is available across classes is another design decision to be considered along the way. So just for fun, let's go back to this one. [08:13]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Interesting. There is just the testEmpty method which doesn't seem to be on your list.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That's weird.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I can try to do this one as well, and it has the exactly same problem, because it's referencing something that is already used within those other tests then you come back to the design decision whether you should be extracting it. It might make more sense to actually be consolidating all the tests into a single stringUtils.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Ok. Are you comfortable trying to finish the task? 
 

 Yeah. I'll just do the craziness.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So what happened now? [09:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I've no idea what happened now. It didn't do anything. So it seems the first time it just made it accessible as a public, and now it will actually move it. So it's actually a bad workflow that it doesn't go to the next stage.","Invocation
Not Predictable (“no idea what happened now”) 
 Not Effective (“It didn't do anything.“) 
 Not Satisfaction (“it's actually a bad workflow”)",Invoke (Move),1,1,1,0,0,"<1,1,1,0,0>",1,22-22,0,0,0,0,0,1,1,1,0,0,Move
"I have my new class, stringUtilsEmptyTest, and in here now, I can go ahead and move my specific - one at a time, awesome. [10:04]
 I will just refactor that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's testAnyBlank - allBlank - All empty. I wonder if there is a way to do multiple. It doesn't seem like there is, so I'm just going to roll with it. [10:39]",,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
I: Why did you cancel it now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I wanted to go look at - kind of my thinking now is that why should I be asked again for making something, so I want to see what it did over here. And - one thing I'm actually wondering now out of curiosity, is whether this is actually being referenced. Because I think testBlank is being used [11:10] somewhere else. What I find interesting in this refactoring is why it had to become static, because that would tell me there is something in the original test-class which is not opening.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: When did it change to static?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The method that I moved got changed to a static method. Which tells me that it’s being called from the other class so it needs a static call across which requires other architectural changes. It is interesting that it lists no usages of it. Which means there should be no reason to make it static to make it a valid refactoring.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Does that make you more reluctant to use the tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"In this case, yes. It starts opening up additional questions from an architectural side, because if you end up making a bunch of things static for no good reason why would you use the refactoring tool because it's doing something that is not expected. If there is no references it should be able to move it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[13:14] In the end, for these ones, I would just copy-and paste and put them together just because I don't trust the move in what it actually does, and trying to figure out how it works.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: so at this point you want to change your approach?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I want to change for this one, knowing what it did there. I will change my approach to better suit my expectations and then found out if there is something happening that I was not understanding properly. But, from history, I used to copy and paste a lot because I would also want to see those kinds of breakages. The refactoring tools may try to show it to you or may not have a great way of showing to you, what it actually is affecting in other classes. So you only end up seeing that as part of committing. Sometimes it's easier to break your code to see how it's coupled together, because it may change your approach.","Reflection
Not Predictable (“I would also want to see those kinds of breakages. The refactoring tools may try to show it to you or may not have a great way of showing to you, what it actually is affecting in other classes”)
",,1,0,0,0,0,"<1,0,0,0,0>",0,33-33,0,0,0,0,0,1,0,0,0,0,
I: How would you usually approach this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"From the test side it's a little more interesting, but when I used to do it I'd say, I want to move these specific fields and then just copy and paste. Understanding that they should be fully encompassing themselves you can find out what is broken and think about the architecture a little more. The more you use these refactoring tools, the more your architecture can start falling apart, because you start exposing things as static or public that should be isolated a bit more.","Reflection
Not Satisfaction (""The more you use these refactoring tools, the more your architecture can start falling apart”)",,0,0,1,0,0,"<0,0,1,0,0>",0,35-35,0,0,0,0,0,0,0,1,0,0,
"I: In the case of exposing it as public or static, are you worried it will break the behavior right now?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I wouldn't be worried about breaking the behavior right now - from a behavioral standpoint very rarely would I see things as problems with breaking, especially with constants and such. If you're looking at a constant, and you make it static - sure - you have one copy across all your classes, and moving it around is not going to break behavior. Similarly if you make a method static. Normally that is not going to break behavior, it just changes how you call it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But if it starts to impact true variables, if you have a variable on that class and you make it static, then that would become something that is an instance-specific - if you have multithreaded application you can change the value globally instead of the specific one on the object.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"In most cases I wouldn't expect it to have detrimental breaking behavior depending on what it is, but it could have some kind of bad behavior in the future. It changes more around your architecture and how you build something, because if you expose things as public or static, they get used more. It is just natural to start using things that are easy to access.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then you get to a place where you're doing bad API design and don't really understand how your system is connected.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So the way the tools change the code would impact how the code was used in the future and how it grows.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes. Especially in organizations and open-source software. If you took something that should be internal and made it public, someone is going to use that as API, so you can't necessarily change it back, so you're stuck maintaining it, even if it's not necessarily something you want out there.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: What about taking the result and changing it back? For example, removing the static modifier in this case.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"In this case you could, but if it gets through and someone start consuming or building, then you can not.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
These ones will have problems because they reference FOO that I don't have a reference to because I did not use a refactoring tool,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But because I have already moved one, I am fine to just do this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you had used the refactoring tool, what would you have expected it to do?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That it would have added this reference because it knows that there is a reference to that variable and that it is public, so it can be used across classes, and would have updated these variables to actually refer that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Still says I cannot resolve FOO, because I need to go over here, I'll make it package protected. And that should be it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Did the tests run before compile? 
 I: Yes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It says the the variable can not be resolved. did I mess something up? 
 I did - I put the wrong class name which is why doing it manually is bad..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This is one of the benefits, if you have a refactoring tool you trust, is that it can make sure these are correct. But making sure it exposes the changes it is going to make, and why, is a pretty big deal. That's one thing I always have. 
 The idea of visibility and knowing that is going on, is very important for me, rather than seeing it after the fact.","Reflection
Trust 
 Predictable (“making sure it exposes the changes it is going to make, and why, is a pretty big deal”)
",,1,0,0,1,0,"<1,0,0,1,0>",0,52-52,1,0,0,1,0,0,0,0,0,0,
I could always go and use the tool and use git to see what actually changed along the way..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why don't you like that approach?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Sometimes inspecting changes after the fact can be hard. There is going to be code that is unrelated to your refactoring, since normally refactoring tasks is done as part of other tasks. When you're looking at it after the fact you may also not be able to undo it if something doesn't look right, so it's better to have the information up-front. [23:46]","Reflection
Predictable (“When you're looking at it after the fact you may also not be able to undo it if something doesn't look right, so it's better to have the information up-front.“)
",,1,0,0,0,0,"<1,0,0,0,0>",0,55-55,1,0,0,0,0,0,0,0,0,0,
"As you see here, because the refactoring tool added static to my method, the first test that I actually moved it won't run.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Where is that one? 
 testIsAllBlank",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"so, as a part of this, you can see that using the refactoring tool actually does break the code functionally. If it wasn't on a test it could have had a different impact, but because it is a test it is a little different.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It prompted you about making it static though.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"But when I said no, it didn't allow it. When I said no, it stopped the refactoring, so you either have to say yes, or not use it. If you say no it does not allow the refactoring, so therefore we had to go with it. But that's also why I reverted it, because I didn't like what it was doing.","Reflection
Effective (“ If you say no it does not allow the refactoring, so therefore we had to go with it”)
 Not Satisfaction (“I didn’t like what it was doing”)
",,0,1,1,0,0,"<0,1,1,0,0>",0,60-60,0,1,0,0,0,0,0,1,0,0,
I: Did you expect it to break the test?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would not expect a refactoring to break a test especially for a move. That's bad.,"Reflection
Not Predictable (""I would not expect a refactoring to break a test especially for a move."")
 Not Satisfaction(""That's bad."")",,1,0,1,0,0,"<1,0,1,0,0>",0,62-62,0,0,0,0,0,1,0,1,0,0,
"I: Are you done? 
 Yes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what code changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I added a new class, moved the methods across and opened visibility for a single field in stringUtilsTrimEmpty test, so it can be seen across, and updated the appropriate qualifiers. I could have also copied the variable across, but that would have ended up with duplication of data. But if I had been thinking about it on a grander scale I could have seen if the FOO was used anywhere else, and if not, moved it across as well. Depending on how it's used anywhere.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated any of the changes you made?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Other tools? Hm. Not that I can think of. I'm sure there are some. I know there are a lot of tools for refactoring, I used a lot more in Eclipse. The Eclipse stuff I've used is more proactive about telling you what it is going to do. But I haven't used IntelliJ enough to know, because there's a lot of people who like their refactoring abilities.","Reflection
Predictable (“more proactive about telling you what it is going to do”)",,1,0,0,0,0,"<1,0,0,0,0>",0,67-67,1,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on what you mean by proactive?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Really showing you - the idea of a dialogue that shows you what you are going to do. Instead of - right you do it, but then it says here are the types of changes, but then you can review it and see exactly what is happening. It is not for all of the refatorings, but I know there are a few of them that gives you that, especially when it will make a more prominent kind of change.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Which ones have you used in Eclipse? 
 Probably a big chunk of them. I actually have Eclipse open. 
 I: Would you mind sharing it from on top of your head?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Rename, Move, Extraction, of variables, methods. And the different types of renames - local vs global.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any you avoid using?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Not something that I kind of explicitly want to avoid, but there are always these cases where I avoid using it kind of based on looking at the code and what I am going to do, and maybe get a sense of what is going on before I make a change. If you create something and copy and paste it you can understand more of what impact your changes has by seeing if it breaks one place or does it break the entire project, and that changes some of your thoughts about potentially how you go about refactoring the architecture.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on how your workflow integrates the different options? At what point would you decide to use a tool or to do the manual step?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"In a lot of cases, if it has to do with just extract methods or renaming, the tool will be on top of my list. If it is more architectural, like I want to move like, where this call happens, or how this is actually working, to somewhere else, then a lot - especially when I knew the codebase and kind of understand my thought process - if I thought it was going to be something minor I would use the tool and could reactively easy check and know what changes were made. but if it's something where I don't know how much it's used or how it is going to break, I would do the manual change.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And sometimes I would do the manual change to see what it was, but knowing what changes may need to be done after, I may undo it and then use the automated tool. That's more about getting that proactive visibility of understanding what the impact will be.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you would do your manual change and see what break in order to understand the whole process.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Exactly. And sometime I would go back and use the tool and sometimes you just move forward with the manual approach, because some of the refactorings I did in history was to try to fix up the architecture. In some cases you don't want to update everything to point to the new location, you want to actually think through it in a different way for the different places. So when you're building an API you kind of want to break the old one, put the new one in place, and figuring out how it should be used. For example, one place in your code that is using it today may not be the appropriate way to use it if you are thinking about the overall architecture.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Sometimes you want to explicitly break it so you have to think as you are going through the process. but the simpler one, like renaming a class.. Extracting interfaces or superclasses can be really useful as well, because you're just moving things up higher.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any of the changes you made that you are unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"From an architectural standpoint, if I should use the static foo or move it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you were to do this again, how would you solve it?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Probably the same way. Like, if I was doing this on a daily basis I would probably have copied from the start instead of using the refactoring tool, but only if the tool was new to me I had to try it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T2 [31:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I first find the method, the ones we are looking at getting rid of, which is isAnyNotBlank and isAnyNotEmpty, which are here. And this comes back to kind of my thoughts about an architectural standpoint of thinking of how it is used. In this case I haven't even looked if there is any refactoring tool that would support this but there is potentially contextual information that is needed. like, knowing what the method does and what the replacement is supposed to do. to be able to put it together. I would manually delete these and see where it's broken. That has an interesting set of challenges, because there could be a lot of places that needs to be updated, but there's really kind of not a great way to do that. Now, there's a question of there should just be a not of the isAny-blank and kind of go down that path, but that decision has already been made.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on contextual information?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Because of the way this is written you need to look at the code to see what it is trying to do. It may be the case that you just do a negated call, like not is any blank - so just putting the not symbol in front. But it also may not make sense - since it's a boolean one it's a little funny, but you may try to look at this to understand why this is used over the other case, because there may be something different if how they are. So if I'm looking at isAnyNotBlank then I'd want to look at isAnyBlank, and do they actually match with a proper negation. Looking at those now they have a full set of code instead of just writing a not on the other one, which would make a lot more sense.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm just going to delete it, and I 100% believe some tests are going to fail, because these methods are not actually inverses of each other. That's not isNotBlank.. is any not is any not empty.. ok. [35:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Then the question is, where is it used and how badly did I break things?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that what you are expecting to see now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's what I would expect to see, something to break, because that would mean it is used. Where would I see that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The red bar is too small to see.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Is there a error view? 
 I: You have to recompile. 
 Alright, awesome, I love this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you notice?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"What is interesting is that isAllEmpty uses the negated one and does the negation on it, which was .. the opposite of what I thought was going on when I looked. But I guess I looked at the wrong method. So what needs to be done is to reverse out the code for those two. Ok.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I will undo my change at this point. And then I'll break it in a different way. The way I'll break it now is to go to the isAllBlank and isALlEmpty methods and do this thing, and copy out the method signature for isAll and just delete that, and go to the isNotAll - if I can get this working - is any not blank .. and then do something like this. If you do something like this manually, there is the chance of forgetting to make other changes that will cause problems. So then I must go ahead and change the code. So I must do like, - isBlank, would be one option here. [39:17]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"and actually look at the context of the code which has it's own set of problems, right. So that's one thing, to get it inline and fix that. The code is written backwards from what most people would expect.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what do you mean by get it inline?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The negated version - it should all be opposite, so you should go through here and negate the boolean values. You may also change some of the other steps along the way. I need to go through and understand this code to make that change. I not a big fan of that idea.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You're not a fan of going through the code and understanding it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I don't have a problem with that. I am not a fan of how to code was written, it was kind of backwards.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What made you think that it was backwards?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Most people go with something simple like isAllBlank first, and you usually don't have negated things as part of your API.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Another way you could go about fixing this is actually not removing that method, just making it private, so it can't be called from the ouside world, but it will still bloat your class.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, isAllBlank - it is an empty array - interesting",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"so basically reading through this here, I change it such that isAllBlank - if there is empty, it is all blank, as we are going through the characters, if we find something that is not blank, we will exit early basically, and say that it is not true, because not all are blank, otherwise we will say it is true, because we got through and all are blank. That's that one. Now let's see, isAllEmpty. And I will do exactly the same with that. I do have this interesting thought - not 100% sure yet -",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why were you undoing now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isNotAny?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Because I'm looking at the wrong thing? No. Trying to get my head wrapped around everything. I think it'll be an issue thought, this was looking isAnyNotEmpty - oh it is isAnyNotEmpty..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll do the same thing here. [43:19],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isAllEmpty ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll do the same types of changes here. Basically negating the whole thing. Then we can redo the tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I will go through the tests and see what happens.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now of course the tests breaks, and that makes sense because we actually had proper tests for it. In this case we don't need the tests any more because this should be the case that they are already tested by another test, but that's something I should look into. For the purpose of this I will assume I know the code base well enough to say it is tested at both sides. Doing this again. [45:35]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"My tests passed. I think I removed the methods - even thought I didn't use any refactoring tools, but it is kind of - it requires a little more knowledge when you are removing something. Especially in this situation: you need to rewrite your code as part of the refactoring, because it is not a normal refactoring.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Which changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I went and updated the StringUtils-class, and also updated the two existing methods that was already in place, with the appropriate code so they test for the positive case, like are-empty instead of is-not. Of course I updated the tests and made sure we didn't have any tests any more that referenced the wrong method.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on how you updated the stringutils-class?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I took the method we wanted to keep - after I found out that it was a simple passaroo to the method we were getting rid of, I took the method we wanted to keep and moved that method signature across and then went through the logic and reversed the logic so it would be boolean-opposite.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated what you did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No. I don't think there would be any, because you needed to know the code. I think that would be an extremely hard one, because that actually have process defined.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on what you need to know about the code?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If you want to do a good job about it you need to understand what the code is doing, like what the checks actually are.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: The checks inside the body..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The checks inside the body of the code. So you need to read the code and understand the logic of it. For this specific case, since it is simply negating a boolean, you may be able to do something like that, but I think it is a danger or risk in that, because if you're doing that you should probably have a bit more of an idea of if it makes sense and what else are happening. It might not be a good idea. But there are other tricks, like assigning a variable, and returning the variable not at the bottom. Like extracting a boolean out of the code, which just makes it ugly.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T3,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So you should not have forceAccess anywhere in the FieldUtils-class.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Correct. [49:05],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The first thing I'll do is just to have a look at it to see how some of it works behind the scenes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
One thing I have used in the past is adding arguments to methods and sending in a default value if it not there. [50:19],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But of course it depends again on what I'm trying to do. I've never checked if there is a way to remove arguments. I'll just go ahead with change method signature and see if I can remove.,,Invoke (Change Signature),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
"I'm going to go ahead and preview this time, because there is a preview button and that should tell me exactly what's going on.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There is already another method that way, which means that - it may actually - it will collide - what I'll do in a lot of cases is go back and see what does that one do. It just sets it to false. Something that - I'd take two different approaches is to delete this method right off the bat. Another is kind of similar to what I did in the last one. But in this case I'll go ahead and delete this, and try to use the refactoring tool. I want to see what happens from it. With something like this it can be a lot easier with a refactoring tool to help remove some of that.","Invocation
Efficient (""it can be a lot easier with a refactoring tool“)
",Invoke (Change Signature),0,0,0,0,1,"<0,0,0,0,1>",1,133-133,0,0,0,0,1,0,0,0,0,0,Change Signature
I: Why is that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Kind of back to the same, understanding to happen. When I go ahead and do this, in the preview here I can see some of what's going on, and it's not necessarily just breaking it, it's kind of seeing it in different ways. Like when I break things and go and look at the errors, I should be able to get some of the same context here. Instead of having to manually delete everything by hand. And we'll kind of see what state it gets us into. I'll ignore the error and continue, because I can come back and fix the logic in that. It's more interesting about all the different places that has that changed.","Invocation
Predictable (“in the preview here I can see some of what's going on”)",Invoke (Change Signature),1,0,0,0,0,"<1,0,0,0,0>",1,135-135,1,0,0,0,0,0,0,0,0,0,Change Signature
"52:34
 I: So to clarify, the other time the error caused you to go back and make a manual change, but this error you was ok with. Why was that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Previous time, it was a collision between the methods, so at that point I wanted to see if the other method was doing what I was expecting, of passing false along as a default, to understand how the behavior would change for any of those. In this case it was just that's is actually used as part of the logic and we know that we're going to get rid of that as the actual change and the question is what is the actual impact. [53:07]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
