01:00,,,Predictable (9),Effective (4),Satisfaction (7),Trust (6),Efficient (8),Vector: ,Invoke (3),Row Range, Predictable (6), Effective (3), Satisfaction (3), Trust (3), Efficient (3),Not Predictable (3),Not Effective (1),Not Satisfaction (4),Not Trust (3),Not Efficient (5),Refactorings
I noticed I'm using find a lot because it's common across IDEs. What I normally do is I comment things out and leave them there until I have to remove them so I have a frame of reference.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why is that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"In case I ever need to refer to them after deleting them I don't want to undo it, if I need a reference point for something I got rid of.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: By reference point do you mean just for yourself?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah. It also makes it easier if I need to preserve something I don't want to delete it straight away. It's a bit of a hoarder mentality; I'll delete it later but I'll keep it around until I need to.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
ArrayUtils.isEmpty css return false,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Firstly I know that this is the negation of isAnyNotBlank,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"by the way, I want to check, is anyNotBlank used elsewhere? No, thank god.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you're checking if it's used elsewhere by searcing textually in this class?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I know that there are certain things that could look for it but I guess I'm not as familiar as I thought. Analyze dependencies?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Here it's find usages.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok! Looks like it's going to break a lot of stuff in testAnyNotBlank. Good to know. Well since we remove this we know it'll mess up. But that's what the tests are for. We'll fix and correct it. And I can read those tests while transition anyway.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isAllBlank isAllEmpty,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
how is this used actually?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So we test isAllBlank and we test isAnyBlank. I guess if we remove it we don't really need those tests because that other methods is tested and everything should pass here so that's good to know.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I know that everything here is a negation of something else so what I can really do is just switch from return true to return false and return false to return true. Something that makes me wonder is that my math wasn't very good so I'm wondering if there's anything I'm forgetting so I know that just reverting things isn't necessarily the case let's see if ArrayUtils is empty return true - that seemes straightforward. And for each one run isNotBlank if it is not blank return false. Yeah that makes sense actually as soon as you find one return true so that means that you have to go through the entire thing to return false. Oh wait yeah because sorry it's a similar thing because as soon as you find one that is blank you know it is going to be false. it no longer fills your case. Similarly other way around. This isn't that complicated. And the last one is return true because it passes everything.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Did I revert this one yet? What I'm doing is I'm looking more into the code. I'm relying a lot on shortcuts I'm just going to look at the code and assume it's gospel as opposed to sitting back and writing the methods from scratch. That's probably more useful to understand the spirit behind it. At this point I just realised, I'm not understanding, I’m just flipping switches. Yes return false return true. Ok there's that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to go back to here. They said that there was the class - is anyNotBlank we already know where this is used findUsages we know it's used here. I believe that because we are deleting this we should be able to just delete that test and the other tests should just pass. Teachnically I could just - I could just keep this and not remove that test yet. Where was it testIsAnyNotBlank. Ok. I'm just going to run it and see if this works. The other reasons I'm doing this is that if I notice there's something horribly wrong with my approach I'd rather know now rather than later.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: By 'doing this' do you mean running the tests?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes because I realise I only half completed the task but since I'm approaching them in the same way I'm running it halfway through because I don't want to finish the task and find out that they don't work and then have wasted a lot of time.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Everything passed.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's get back to the other one then. So that was blank and this is empty. Did I have another window open for the structure. IsBlank isAnyNotEmpty is the one i looked at earlier. By the way it is kind of confusing is-any-not-empty Honestly yeah why do people use it if you wanna use this why don't you just run the negation of that why have a separate method for it? I guess you're wrapping it anyway so it doesn't really matter. So I've decided to abandon my hoarding ways and just delete ahead of time.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How come?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm not sure honestly I kind of did that instinctually. In hindsight it's probably because my first approach worked well and I feel comfortable doing that now. But this is given in hindsight so I know it's not reliable. isAll - is it isAllEmpty? Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I also just realised I [comment] this one. Looks like my approach was pretty straightforward just revert everything. And we go here and because the approach worked so well here - and this is actually very easy now because my handy code editor started vomiting,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean by vomiting?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
All the error messages,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So what did that tell you?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That something went wrong. One second why is StringUtils .. oh it hadn't updated. So I've been working a long time in non-compiled languages so the fact that I removed this it mean it updated pretty quickly to be like I cannot find the reference to this because it's a compiled language I can rely on the compiler as a nice I guess safety vaulve. I had already searched I knew it was used by only one other that's why I didn't keep it around.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I had kind of presearched so I knew it was only used by one thing that's why I didn't keep it around.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So the error messages are like ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The compiler complaining I'm using that as a visual bag. Since I know it is about method removal the compiler will complain when the method is not being used so I can just go there when the method has been removed. I'm going to run the tests again just in case.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So when the compiler gives you the errors it sounds like that also helps you think rather than that being the final result so to speak.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I use a lot of different data points. But yes having the compiler complain is nice to me. Well I don't like having it complain but it's useful feedback.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looks like it worked. I feel like I'm done: I removed it from the API so we don't need to test it any more I'm not using anything in the tests. And the tests have been updated. I guess technically what I should have done is look in StringUtils - I should have looked ahead of time - that by removing that method is there any imports or global variable declarations that are no longer used. And it looks like - no that's a static method so it could be used elswhere - and no - the methods are still there I literally just copy-pasted them over; I'm overthinking. Yeah I think it's done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you explain in your own words the source code changes you did in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's see. I removed - moved functionality from one method to another and I slightly modified it to fit the new parameters and I removed the old method and any usages. And I ran the tests to ensure that the functionality was preserved. And I was fairly confident about this despite on record talking about the unconfidence because the tests are passing. And because the code itself looks very simple. It's literally just a negation of a wrapped function and now we unwrapped a function. So I guess another way to put it is I'm unwrapping a function moving it somewhere else and negating it; I'm just inverting a wrapped function.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You were reading it as well..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I had to make sure that it was just a simple case of inverting the signs inside the code 'cause I know ahead of time you can do it with the final result but within - I guess I'm contradicting myself because you should just be able to invert them ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated the changes you did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No but I'm also not a power user?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you do any repetitive code changes during the task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah it was pratically the same: copy-pasting deleting and flipping the return values.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you had a tool that could automate that would you trust it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm a self-admitted ludite someone who fears technology - ok that's a bit of an exhaggeration but for me it's like if I knew this tool existed and I'd used it enough.. I wouldn't trust the tool to work just because I was given a tool I'd have to see it work enough times before I trust it. But I always verify because I know that tools can be faul.,"Reflection
Trust",,0,0,0,1,0,"<0,0,0,1,0>",0,106-106,0,0,0,1,0,0,0,0,0,0,
I: So you'd just need to use it so you'd trust it in order to use it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If someone told me to use it I'd try it and the first few times I'd be slow and check the output each time but given enough time I'd start trusting it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any parts of the code changes you're unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Just the signs because I'm worried I missed something. The return values I'm worried I left one by mistake but I'm pretty confident about them. That's the part I was most paranoid about making sure that the logic was still the same.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you were reading the names of the other functions to make sure,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
yeah just making sure it was doing what I thought it was doing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T3[38:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm trying to make sure I understand this correctly: There's an API for reading and editing fields and there's an argument that is called forceAccess and you check if forceAccess is true do some logic else do other logic. But right now we're like forceAccess should always be false. Again the lazy way - or the hacky way - the first thing you do as soon as you enter the argument you set it to false. But I guess the problem with that is that people will see the API and say why is this not working. I would like to read the methods first.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is a new class FieldUtils. Let's open the tests that's probably somewhere. reading: Locate the code and test - oh so this is the entire file! Ok let's see. forceAccess is a parameter under getField let's see where else. Wait how many methods are in here. ForceAccess is a boolean. Looking to see what else would use it. I'm assuming anything with a boolean in here is using forceaccess. Let's look at the tests real quick. So this probably seems like the most complicated of them all. There is testgetfield. Fieldutilstestgetfield. Which methods had the forceaccess? There's no default parameter right? It's not like if you don't fill it in.. no this is java you have to fill it in. If you want to set default parameter the last time I worked with java if you want to set a default parameter you just write a wrapperfunction called getfield and like prepopulate the default function. Like this one. Looks like there's already some default stuff. Yeah sorry a lazy approach is just to make the other one private so you can only use this one but I assume we don't want to do it that way.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You don't want to keep that kind of code quality.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's the lazy way. Now what we could do then.. So what's happening is that it's kind of similar to the last task in that that we're moving this in here and then removing all references to the forceaccess parameter being used. The way I think about approaching this now - by the way the previous task has kind of primed me for this - is that I would look for how getfield is being used - this particular getfield with this particular signature with the forceaccess because I already know there are usages of the default one - and I'll probably remove any usages where you set this to true because it looks like the default one is being used in the tests and I'm just going to validate that now. One usage.. line 59.. it's also used in readField .. this has gotten slightly more complicated.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Because what's going to happen is if I change something - unlike the previous task there were no internal I guess dependencies. There was nothing else in the same file calling it it was just the tests. Luckily one thing that will be helpful is that the compiler will complain when we remove this because it'll be like we're using this. But what will happen is that one approach I can do is to change that then find the broken stuff and fix it later the other thing I can do is what I'm doing right now which is to look ahead of the time to see what will break. Which personally I prefer.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How come?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Because I like to at least know what I'm getting into before [starting]. It depends if I was really rushed I'd probably just start changing things but I feel - right now especially because I know that I have over an hour left - I am slowing down a little bit.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean by getting yourself into what are you considering then?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I change this - I guess how daunting it is - is it going to be an easy change or a hard change; like I want to estimate ahead of time an estimate. It's like if my friends asked me to sign up for whitewater rafting I'd want to look into what that entails ahead of time instead of being like yeah let's go and then go oh no.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So what kind of things are you looking for here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's more involved that the last one because there's more in here. It's more potential for it to not behave as intented. That's really it. That was getfield readfield rightfield. It looks like though maybe I'm looking in the wrong place but it looks like we're just trying to find all the places that force-boolean is used. I know for a fact that the only place it's going to be called final boolean is in the method signature so I'll just search where it is.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: There's matches on the side there.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And we have 7 matches so it looks like it's going to be 7 places.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There's two ways I could approach this: one way is to find the root-methods that are referenced by other methods start changing those first and then fix the other methods that are broken accordingly. The other way is to immediately go to the other methods just remove all the one that use the boolean and then go in there and finally fix up the last one. I'm not sure what approach is better honestly; one involves a lot more red lines than the other.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that a good or a bad thing?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am not sure. I talked earlier about how I do rely on the compiler. I would say that the easiest one is probably to start removing from the signatures everywhere especially since there are some pretty simple ones here. So what will happen is that because the default wrappers are in there it shouldn't break them it should still just work. So I'm going to start by - and I know that there will be some tests that use this so I'll fix that ahead of time. Ok so what I'll do. [49:11],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am going to start by removing the field from all the method signatures and remove all the corresponding references to it and then fixing the more core functionality but as soon as I remove this I'll also fix the tests ahead of time. And to me this is a decent approach because there is already the default and the default parameter is false. I would say it would be more compllicated if the default parameter was true. One thing to also note ahead of time is that in here in the tests what's going to happen is.. Something is on my mind something will happen.. I'm not sure it's my gut feeling that something is missing oh right I haven't run the tests yet. I should do that first. Especially based on my current position the tests don't always pass.. But this is an open-source code base so I guess it makes sense to be confident ... Ok it's passing right now.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So let's get back to what the appoach. I'm just going to start by deleting the ...changing how we are defining the methods. I'm going to start with ... I feel like I am taking to long to deliberate where to start. This is not just for the experiment I can have a bit of inertia and once I commit to something.. but I haven't actually committed to something yet just hovering around. It's like this whitewater rafting course and I'm just like should I pay yet and I'm kind of like saving it for the last minute but this is actually committing. So let's see this is getField.. I've decided that I'm going to go with the approach that uses the red lines and start by changing this one because it is going to provide me with a visual reminder of where to jump. So getField - i'm just going to find usages again. Oh right ... I can change the signature using this tool can't I?,,"
 Invoke (Change Signature)",0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Change Signature
I'll be honest I've never used this. I guess I've used something similar in Eclipse. Remember I said I've self-confessed ludite tendencies like because I don't know the tool I might actually just - oh there's a preview. What happens if I just remove this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You can remove it through the minus sign here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So what happens if I remove this? The problem is that it's already defined - ah of course we already have oh by the way I'll admit straight up I'm biased to look at this tool because I'm self-aware of being in a study of refactoring tools.,"Invocation
Predictable
 (“what happens if I remove this? The problem is that it's already defined“)",,1,0,0,0,0,"<1,0,0,0,0>",0,135-140,1,0,0,0,0,0,0,0,0,0,
I: So you wouldn't normally have looked at it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I might have if a co-worker had shown it to me. I think the thing with IDEs the reason I do some of this stuff in Eclipse is because I was shown some of these things when I was an intern. The fact that I've never had anyone sit me down and and say - I guess I've never devoted time at work that I should sit down and learn my IDE. It's mostly just let's get this done. I guess I've just used an approach that works.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Anyway. I feel like what's going to happen is what I'd do is just delete this method now then I know that some times with certain IDEs I am not sure if I remove a method it might complain somewhere else and it might not let me refactor if there already is compile issues.,"Invocation
Not Effective 
 (“it might not let me refactor”)",,0,1,0,0,0,"<0,1,0,0,0>",0,,0,0,0,0,0,0,1,0,0,0,
I: So what was you original plan you want to remove..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
