Task 1,,,Predictable (8),Effective (0),Satisfaction (3),Trust (2),Efficient (1),Vector: ,Invoke (3),Row Range, Predictable (3), Effective (0), Satisfaction (0), Trust (0), Efficient (0),Not Predictable (5),Not Effective (0),Not Satisfaction (3),Not Trust (2),Not Efficient (1),Refactorings
It would still be a refactoring. It would be improving code quality. [26:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: *stops him suggest to move on*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you consider yourself done with the task itself?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's see. Waiting for all the tests to run.,,Run tests,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you looking for when you run them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Errors.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looks good to me.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Which source code changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Created a new class - actually I copied a class deleted a bunch of methods and then moved methods from one class to a new one. Making sure that I delete them - either delete or move. Making sure that the old class didn't have any signatures pointing to these new methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you make sure of that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the two cases I deleted I was quite sure.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you just look for them visually or something else?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
You get an output when you delete something like you see the code being deleted so you're sure it's not there any more. If I was to push this I would do a git diff and I would make sure that everything is deleted. Even thought I have the visual prompt of what's done before doing a committ I do a git diff and I see the minus in front of any method signature to ensure that it was deleted and the file here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are there any changes you are unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think they are ok I hope so.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I'm curious about your decision not to remove this static block. How did you decide that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Mostly because this static was the strangest thing that I saw so it would be the last piece of code to touch. I would improve the code first then I would get back to this static and see what happened if I delete it. Then you asked me to stop.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So if you were working by yourself you would first improve the code and then finish this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes that would be my workflow. This looks weird so it would be the last piece of code for me to touch.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean by weird? [30:24],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's a syntax I haven't seen before. It is weird for me but be normal for others.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: The static block or having this in a test.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Both.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T2 [31:36],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm not sure if I understood the task like why do I have to locate them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Just to help you get started.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Remove method isAnyNotBlank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So that's where I would probably use maven. So I would delete it and run mvn build and see all the places that were not compiling.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If you did that what would you do with the places?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would go there and check. Something similar to this find usages. I would see these places and make sure that I delete them. So kind of like what I'm doing here. I don't like find usages so much because sometimes it keeps moving around in the window but in the terminal I can easily switch between the window and IDE and I have more space to look at the code.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is this the same as removing and rebuilding in the IDE?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think so.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's not this, it's the other one.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I can delete this.,,Delete method,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then the other one. [37:13],,Delete method,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are you expecting this to help you solve the exercise or to help you think?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
To solve the exercise. It is a compiled language so whatever I use to build will show me errors and then I will use these errors as guidelines. I don't know if there is a delete method or something like that. I don't know if there is delete method or something like that. Refactor safe delete .. I don't trust safe delete.,"Invocation
Not Trust",Refactor Menu,0,0,0,1,0,"<0,0,0,1,0>",0,88-88,0,0,0,0,0,0,0,0,1,0,
I: How come?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't know like .. it's probably something I don't use that often but I prefer to see these things happening step by step because I know what's there, I can double-check any of the files that are to be changed and see if there are any other changes that need to be done in them.","Invocation
Not Predictable 
 (“prefer to see these things happening step by step”)",,1,0,0,0,0,"<1,0,0,0,0>",0,90-90,0,0,0,0,0,1,0,0,0,0,
For example I deleted this guy and then I saw the same compile error in different lines and saw that the lines were repeated then I would realise the thing I saw in the last one. You can imagine that the two tasks are distinct. If someone was assigned to the tasks and if you use safe delete you wouldn't see the lines being removed or you'd see them but not in the same way.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Unless the IDE shows me that this will be deleted that will be deleted. I prefer to have some control over it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Build project.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It seems you are expecting ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Errors. I am expecting errors.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: If there hadn't been any errors now what would you have done?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would know that there are no tests testing this which is a big flaw. I would be more cautious because of that. I deleted some functionality that no one was using.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So now I’m undoing what I did because now I understand the preparation part. The functions I was pointed to they are using this thing.,,Undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: When you deleted these before did you expect that you would need to undo it after?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No. I was expecting to see only things in the test.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
IsEmpty.. return ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If it is a negation of this then I can just move this code without the negation and it should be fine probably. [41:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isallblank..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: did you undo again what you did before?,,Undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. I'm not sure I copied the same name.. I need to be sure I'm starting from the right one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Delete. Bye I'm deleting this guy so there should be a compile error here somewhere.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isAllBllank. Yes so now I had to check. isNotBlank.. for ..if.. [42:34],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So this is code. Because ArrayUtils.isEmpty return false.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Check if..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm just reading the documentation.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If it's empty I should return true.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Basically I should revert all the signs.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
return false return true.. can I write here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*writes on paper* allBlank is technically done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I'm navigating in the file.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Woops wrong direction.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So now I have check if all ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: are you actually checking the functionality against the implementation now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. Even though it was a negation - I probably had to change the true and falses - but having this documentation to guide me and double check is helpful since I'm not familiar with this code.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I deleted the two methods and now I will build the project.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is this how you would have worked using mvn if you had it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes so I would have something like this. These guys are failing. isAny.. so I'll proably delete that. I did something really wrong. I don't know.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm assuming there is a test for the other. If there is one there's not a problem. isAllEmpty. Yes there is one. I didn't do anything wrong.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is more errors over here. TestIsAny. I deleted this method so this should go away. Any other errors? Not that I see. Did I delete this one? isAny.. oh the negation is not. Ok so now I'll run the test again. They are the same.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[47:33] I think this task is done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Right now I am checking the diff. I deleted isAnyNotEmpty as asked. Then I moved the functionality to this method. If it is a double negation then in this one all the booleans should be flipped so I can check that as well. Same for the other it is deletes they are flipped and I deleted the two tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I run the two method signatures and I ran everything to make sure that it worked.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And I'll commit that. [49:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What source control changes did you do for this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Moved method? It's not a move method. I moved blocks of code from one method to another. But it's not moving a method - moving something. And then code deletion. That were the two main things.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you explain in a bit more detail?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The isAllEmpty called isAnyNotEmpty so basically I got the functionality of this one extracted it to its caller and when I did that I was able to delete this guy and checked the documentation to make sure that the method did what it was supposed to and because of the negation I changed the return statements.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And deleted the tests at the end?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated any of the changes you did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I saw the safe delete. Probably it could have helped me.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Have you used it before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No I haven't. Just because I prefer to do it like I said.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Anything else?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not that I can think about.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Any changes you could have gotten wrong?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I said I thought I did something wrong with the tests and the reason was that before deleting I should have left the old method there just for the sake of it. There were so many variants of this method so i got confused if the method I was changing was actually the right one. But when I got back and doublechecked the names I found that this was being checked and that I should be fine as long as I get a green bar.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T3 [52:21],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
tests .. test field .. ouch so many fields.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I have a test a field name and force access.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The first I will probably do is to check where this variable is being used and I'm just relying on the highlighting.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can I first ask you to explain to me what you are supposed to do?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I must remove the option of forceaccess and that means that I cannot access fields any more I hope. All the fields should be protected.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Where do you need to remove it from?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The getFieldMethod.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I'm just going to correct you in that it must be removed from the entire class.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Huge.. there's a bunch of them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm just scrolling down to see if there are any other ones. I'm just looking at all the callees of readfield and it's funny because this guy over here where was it. getField.. yes. Field.setaccessible true. or else return false. is it the same as this one? No something different. [57:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I wonder what this does. Setaccessible. I'm just navigating between the two of them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you looking for? [57:49],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
forceaccess checks the accessible... so in getField I'm setting field.setAccessible to true. And probably somewhere else when I call getField I'll probably check these options. [58:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I understand what I have to do. If I am providing an API I would probably just change this flag from setAccessible true to false and add a warning here because that means that the clients that are using my API are still able to without .. I mean they would still have an older version but at least people expecting the same behavior would get an error or warning. And I don't necessarily need to delete that field there. But I'm not sure if that's what the task is asking for.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I understand what you mean but in this case I want you to remove it. [1:00:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok. I understand what is happening and the last thing is before I'm deleting something - I am getting more familiar with this - and I want to see how many times this thing is used. So getField has a tree fieldUtils .. one two three.. wait where is the last parameter here? is it optional?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
find usages..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
that was somewhere else.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So where was I? I didn't see that in this one. Oh this one is getField..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is a bit more challenging because .. not sure what the behavior of this method is.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I am trying to see if there is a method that tests forceaccess with true and what is the expected behavior. [1:02:34],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The ones with illegal should still be there.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This method has to have the opposite behavior. I'm not sure if I should just delete this. Is this the only place where it is true? I think so.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I kind of have an idea of both classes and how they work so now I can delete the things. [1:03:39],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This was an override in all of these guys. All of these should be have the other method signature. I am deleting the one with three fields. And checking if there is references to the other one. Not sure.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now it should be over here. [1:04:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This returns a field there is a match and then I return the match. field.. classhierarchy. I'm wondering if this is because of the forceaccess.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: did you undo your change?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes sorry I undid. There was a different name where the field matched another name in the method and I checked what was being returned. And where you see match it should be field. So this should look like this. And now I can see where it's being used. Forceaccess is not being used any more. I'm curious about this one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I deleted this part with forceaccess but there is the other part that I don't know what does modifier is public so I'll leave it there.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I want to check this one. For the test class testGetfieldforceaccess. This does not exist anymore so I can delete it safely.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
For this one ... I'm not sure if illegalargument is because of the forceaccess or not so i'll just remove this. And hopefully there is a testgetfieldILlegallargumenttest [1:07:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
without the forceaccess.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
1 2 3 4 that's perfect. So technically these two guys would look the same. This is the forceaccess. It's new and none. This is being tested by the other one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
there is still the declared field.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
can delete this guy. [1:08:52],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
if forceaccess.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is another method with the same signature. So again I should move this to the other one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
by the way these two I'm not sure.. I deleted the method and I saw an error in the documentation that I did't see before and I hope I updated the documentation in the other one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: why do you mean by updating the documentation?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I can double check in here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the previous task I was deleting this method and I think it was fine but I think this was the first time I thought about the documentation - but I would have had to ensure that the documentation was right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
getDeclaredField .. [1:10:55],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
they are the same so I can delete.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I hope that is not too tedious for you.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is a bunch of compile errors here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Forceaccess readfield.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
When I delete this I'll see more stuff.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yep it never ends. [1:11:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why did you undo the delete you just did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I saw too many compile errors.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you decide that it was too many?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
By the number of red lines I saw over here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you count?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If there was three or four.. when I deleted the big method I think it was like five illegalargment but this one as soon as I delete here. [1:12:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: that's too many?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
