T1 [06:39],,,Predictable (4),Effective (0),Satisfaction (2),Trust (2),Efficient (0),Vector: ,Invoke (1),Row Range, Predictable (3), Effective (0), Satisfaction (0), Trust (2), Efficient (0),Not Predictable (1),Not Effective (0),Not Satisfaction (2),Not Trust (0),Not Efficient (0),Refactorings
I would do the same thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Commenting out and making sure it still works. It feels very safe to me. I'm always embarassed saying out loud that it's what I'm doing. But especially for these tests that aren't calling each other. It seems ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any other situations in which you would be inclined to use tooling? [25:22],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Because these methods are not calling each other I feel safe to just look at it, copy, paste, comment out, fine. Whereas if they were calling each other I would probably have to like,.. I mean I would probably use the same tools, copy paste comment. However, I would probably spend a lot more time with how I do it. [26:07] actually, no. I might even just comment it out and see where things break. Because everything will turn red where it is needed. The same first step of copy comment.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why is that your preferred way?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Copy-paste is something I've always done, before I could program. It feels safe to me - of course trying to rewrite something, it's obvious. The comment - I don't want to lose something. It's in the git history, but it's nice to have it right there. If I'm making changes, like move something, or immediatebly change something, I like to have a record of what it was like. [27:08]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Let's say I have a method, I copy it and move it somewhere else, and because I move it I have to rename a couple of things, which is very likely. I definitely don't want to rename things, then it's broken, so I don't know what .. so I'd like to have the record of what it was like before in the code. It's nice to have it in the git log I guess, but that'd require me to leave IntelliJ. [27:47]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: is there any of the changes you made that you're unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The whole thing. But I would make a pull request and someone would tell me if I made a mistake anyways, so I guess I'm normally not afraid of making bad choices because I'll get told off. The only thing I really don't like is this field here, because I don't like that it was copy pasted. In fact, I think that this was outright just a bad choice. I didn't even look around, my search failed me, and if I'd seen it in three places, I would have made a test constant, so test details or something like that, and it would have all the constants that are being used by multiple tests. [28:58]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Because it was just two and it was just foo, I'm not going to make a class for this constant. Seems silly.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T2 [29:14] *reads task* [30:36],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I need to remove isAnyNotBlank, which is being used by isAllBlank. So I'm am going to go into isAnyNotBlank and just negate it. And then probably putting that functionality into isAllBlank, run the tests to make sure isAllBlank still works, then I am going to try to delete isAnyNotBlank, I'll look for references. [31:33]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oh man. I'm not excited to see that it's being used in as many places as it is, because I'm trying to delete it. The more places it's being used, the less likely I am to want to delete something. How many places is this being used?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Equal. I have to change all the tests. That's ok. First I'll make sure that I can move the code over and it's not going to break. Should I get rid of - I'm going to have to get rid of some of the tests. [32:21] Is anyNotBlank isAnyNotEmpty, I'm going to get rid of the related tests because they don't matter to me any more. This is where I would use my global search. [32:34]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The search would pull up a box and I can type into it, and below it has a little mini editor, so I can go to each reference of a regex and I go through everything that matches and edit in my mini editor on the fly. [33:08]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I see it's being used in all these places. [33:36],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And these tests, I don't want to get rid of. [33:44]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now I can directly in here, comment stuff out. And I know all this stuff is all the tests, so I can get rid of the tests one at the time. [34:02]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's only being used in one place! Why was I freaking out?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[34:09] *edits directly in 'minieditor' - comment out tests*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That's the one place it's being used. [34:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now I'm going to do a bad thing again, what we discussed not doing, but .. I guess I should make this do the opposite.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"We said don't copy paste, I said I don't like copy pasting ... I don't like admitting to having copy pasted. But it's likely about to happen as I reason through what I'm about to do. My target is isAllBlank, so if is empty then it is blank, right. And then if .. [35:07] This is confusing.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[35:16] It was right what it said about this being a confusing API. Intuitively I feel like I know exactly what is happening, but .. if it's all blank. Reading it, the true and the false .. it's.. but I can confidently say that this, in a world that is .. if it's empty then it's all blank.. I should just be inverting them. Simple as that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[36:37] Again, I don't feel too bad about having repeated code, because it will only be repeated this one time and will never be repeated again.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This code is the same that the other code that I just copied from, but I'm going to delete the other code anyway so it will be fine. I probably should run the tests. [37:13]",,run tests,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok. It says I did fine. So now I can go through this . is anyNotBlank. This has no usages I get rid of it, it's gone now. Now I'm going to repeat the process. [38:16]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"so my goal is to keep isAllEmpty and remove isAnyNotEmpty. Similarly, it's being used exclusively in the tests and this one place. This kind of looks lke the same code. Where am I? In the wrong place. [38:51]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm thinking now that those two things look very similar. Is any blank, is all blank. I would like these to be all the same function. They use the same - they start the same way, they have the same structure. I should be able to pass in a function.. That's an aside, it has nothing to do with the current task at hand, so I should probably not care about it. I'm going to do what I did before, copy this, go to this reference here [40:23], paste it in, this becomes true, false, true.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
and then I do,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
this should have no usages anywhere [41:14],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And..,,run tests,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I feel safe. Tests all pass. I think I did what it asked me to do.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task. [41:51],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I copy pasted code - again. I used IntelliJ to find references to the method, to make sure I wasn't breaking things in other parts of the code that I wasn't aware of, and then I flipped everything from false to true and true to false. Somehow I spent a long time second guessing myself.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated what you did? [42:27],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't think so it would be completely automated, the boolean switching. I can't think of anything of the top of my head that do what I just did. Like, I have two methods, I take the functionality of one and put it inside the other. I guess it's kind of .. there is this thing, not this method, if I could just click it and expand it or something. Anyway, no.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: If you had something that did it, would you want to use it? [43:06]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It depends on how accessible it is. If it is something someone showed me, and just right click, expand, it seems like something I'd be comfortable using. But I find it unlikely that even if it existed that it would be popular. Like, I dont think I would be using it, because the goal is usually to compact, not to expand. Right, like, the idea of that sounds like it's promoting copying code, even though I am copy-pasting - so I assume that it wouldn't be popular, so it wouldn't get to me, so I wouldn't be using it even if it existed. [43:52]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But I like the idea of it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What about something for the inversion? [44:05],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The false true, true false? Yeah ah .. I felt very comfortable with it because the method was so small. I think if it was bigger I would feel more scared. But the unit tests also made me feel - I probably should go over the unit tests to check that they test it completely, but whenever I see a bunch of tests I think that it probably has me covered. If I make a mistake it'll flag it. Again, I can't think of an automated tool for it. Sound like the type of thing I should - like I should just be able to parametrize that stuff. The way I saw it, there was six places with the same code, I would not want that to exist in my codebase. [45:01]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Was there any of the changes you made you were unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I am more comfortable with this change than the last one. I'm really sure they wanted me to do this. Last time I had to come up with a name and that always stresses me out. I mean, I even failed to follow the convention. Looking at it now, these all end in test and I wrote tests. But there was no creativity in what I just did. It is very unlikely I did something wrong.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T3 [45:48] *reads task*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"When I read the word javadoc I thought, I didn't check that the documentation were correct, it could be wrong now for all I know. Before I go on to this let me just make sure that it is right now. Is all .. ok, we're still good.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[48:26] My goal is to remove the forceaccess flag. It is being used in exactly three places for this method. And I'm being told that it is always false. So this one has .. false.. in these places it is all true! [48:51],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Well then .. I don't know what to believe any more.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The tests with true are no longer good tests. So my steps that I would probably follow - sounds so tedious.. I would probably .. [49:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Delete the field. Like, get rid of the parameter first.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Can I draw?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If I have some method name and a list of parameters, and this forceaccess. My one thing I'd do, if it was a big method I was afraid of, is to just make a boolean right here. Bool forceaccess equals false, 'cause that's my goal. And inside it all this code here should still work just fine. Then I can go around and make sure that this parameter doesn't exist everywhere it's accessed, a bunch of things will turn red and I can sort them out. [50:54]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now being biased that I'm in this study, I'm inclined to look for a way to delete the parameter automatically, but there's not a chance I'd normally do it. I'd take this route of deleting things, making it turn red, having some problems and then just run the tests. [51:21]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why would you normally do it like that instead?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"These refactoring operations - this is a big list of things... because it's such a big list I don't know, I never learned the capabilities, right beside this arrow is rename, I've used that some... change signature? [51:59] It's right there.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You would usually not have looked at this list?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, no, it wouldn't even occurr to me, it's just like, there's a big list behind the refactor, and I don't know what's in there. [52:06]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How come you're not inclined to find out?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's a loaded question. I have a way in my head to do it. If someone proposed an alternative, and showed me one time, I'd probably do the alternative forever. For example when someone showed me shift shift it changed my life. I can't imagine living without it, and I'm sure there is a bunch of these refactoring operations that, if someone showed it to me, I would absolutely love them, but I already know that I can go along with this plan I outlined. As time consuming as it may be, and as likely as I am to break it, I know how it should work and how it would work if I were to do it correctly without mistakes. [53:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is no thought in my head of there even being an alternative. I wouldn't look for it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now that we've talked about it I want to try it. But I'm going to do it my way. I don't like that there are so many of them. [53:29] Then .. There are 24 places I'm going to have to make a change. I'm just going to go through these one at a time. This is the first one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I know that I can .. Ok I'm just going to go for.. You know, this sounded nice and methodical, but now that I'm looking it what I think what will happen is I'll let the code go to a state where it's all broken and I'm going to be ok with it and trust myself to figure it out, and then I'll fix the tests and then I'll run them and hope I didn't make a mistake along the way. [54:26]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are you still planning to follow your described plan?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I'm simplifying the plan. I'll delete this and it's going to break a bunch of things in here, and I'll fix that. All the while, the tests are going to be broken. That's ok. I'm going to complete this file, go over to the tests and look at them and see like, what are you supposed to be testing. If it works, I did a good job. If it doesn't work I have the git history to save me. [55:02] Only.. there's one thing I normally like. There should be a little arrow here showing that I deleted something, so I can just click it and reinsert it. Unfortauntaly the git facilities in this IDE is a little lacking, so I am afraid I'll make a mistake. But this is simple, I look for this field forceaccess and I delete it. I'll be fine. I'll go for it. See, and everything gets highligted red and I konw exactly what to change. [55:57]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*getField(C S b) : delete parameter => error in body*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If setting this to true is not allowed, then the behavior when it was set to true is not allowed either. There.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*delete reference in body*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*checks error on signature* [56:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ugh, it's already defined.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oh, I see. You are no longer necessary. I can delete this completely, right? Yeah, I'll do that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*delete wrapper*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Sweet. [56:36] That probably worked. It's red. It's probably red because it's using - yeah exactly.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"*check errors on callers, ignore errors*",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*search for forceaccess*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to repeat this. So this getDeclaredField (wrapper) I'm going to end up deleting. Illegal? No more of that. Same thing,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*delete javadoc*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*delete parameter*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Same thing, if forceaccess behavior is not ok, this has already been defined [57:15]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*checking javadoc*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is actually the documentation I want.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*delete method signature with javadoc + wrapper body to manually inline* [57:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That went back to being ok. Just going to pretend that's correct.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you went back and checked what you previously did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah. It's may be controversial, but I'm not a big fan of heavy documentation like this. It's an easy mistake to make and my IDE can't catch this. I made a mistake. [58:33]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Same deal. This is the real documentation I want. This guy.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"*manual inline readField (F, O, b) [58:46]*",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"if forceaccess.. and.. no this will always be false so that should never happen so I'll be fine. Fieldname, forceacces is here.. so .. wait, readfield. [59:18]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Are you the same thing. Yeah. That's what I thought.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"*remove parameter, checks that errors, confirm that the method above is wrapper* [59:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*manual inline*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So forceaccess no longer exist, readfield.. should not need that, it's always set to false. [59:53]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is very tedious. I did not expect it to be so. I am doing the same thing over and over again. But I'm getting faster. I'm actually getting more reckless. I'm deleting these comments without reading them assuming they're all serving the same structure. But there is a record of all the changes I've made. if force access ..else... yeah. So what I should have done is committed my changes from the previous two tasks so I could just reset. That was a mistake not doing that. [1:00:43],,Named (git),0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But I think I'm going to be ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"*repeat: delete parameter, remove from body, manual inline to wrapper signature or javadoc* [1:01:16]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so this file is fine. Oh man, I broke the tests. [1:01:36]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Do I even care about these tests? The tests for the regular one are still happening.. they are still here.. I'm just going to run it for coverage.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This is my current plan. All the ones that are set to true I'm going to comment them out, then run them with coverage, go back to this file, and make sure that it is still completely covered. [1:02:23]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Again, I feel like this study is very much exposing bad habits I was not aware I had. I'm sure there are much better ways to do all these things. [1:02:43]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now I am looking for all the ones, all the tests that call the methods we just edited with true, because I should not care about this behavior any more because it is not defined behavior any more, so all the ones where it was set to true, don't need to exist. [1:03:34]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now if I run this with coverage. I don't want to read all the tests and make sure that everything is covered, that's a waste of my time. What? Oh, .. I'm fine with this. [1:04:38]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to see where else forceaccess exist in the code base. No it's all stuff I commented out. [1:05:11],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This is fine. What does this thing do? This is fine, this is not related to what I just did.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I was just double checking to make sure that there aren't like, other functions that are setting the boolean to true. But that should've come up when I looked for references, so I don't know why I freaked out about that. It's fine. [1:06:10]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The next thing I'd do is delete those comments. [1:06:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's the only other - the next thing I'd delete all these comments. Then I'd make a PR, get my supervisor to review it. [1:06:39]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
*deletes commented out tests*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think that was it. [1:07:07],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Those tests are giving me a lot of comfort, since I didn't write them.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task? [1:07:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I used the search in file to look for forceaccess to get rid of the flag. I just deleted it. It was all deletions. I just searched for forceaccess, deleted the parameter - I realized I was very lucky that it was called by something else that had the flag set to false all the time, so I didn't have to repair all the tests. I was very sad that I'd have to go and repair all the tests. Although it would probably just have been a multi caret over all the false and just delete them. Probably wouldn't have been a big deal, but it was nice that I didn't have to. And then all the ones where it was set to true, that was no longer defined behavior, so I just deleted all those tests because they are no longer necessary. The only hiccup was, I thought - like I did make a mistake about the javadoc, I'm glad I caught that. That is very likely to have slipped past me. [1:09:08]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated any of the things you did? [1:09:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No. But when we were having this discussion earlier we saw something that said refactor change signature. It has parameters. So .. this leads me to believe that this would serve my purposes. I'm curious as to what it would do different from me just deleting it. [1:09:47] It would probably have some interactive editor, where it's like, you want to delete this parameter but it's being used here, what do you want to do. But to me that's not very different from what I did. I deleted the parameter, things turned red, and it turning red is the same as the editor asking me what do you want to do now that this is broken. [1:10:13]","Reflection
Predictable",,1,0,0,0,0,"<1,0,0,0,0>",0,158-158,1,0,0,0,0,0,0,0,0,0,
