Current Title,Age,ResponseId,Label,Years of industry experience,Years of Java or C# Experience,Last ten years of Java or C# Experience,Java Proficiency,C# Proficiency,Max prof,Education,Gender,IDEs used,IntelliJ,Visual Studio,VS Code,Eclipse,Netbeans,Vim,Rider,Other
Programmer / Software Developer / Software Engineer,35 - 44,R_1QsB6Rz7DlVqkfi,P34,11,7,6,1,5,5,Master's degree,Male,"JetBrains IntelliJ,Visual Studio,VS Code,JetBrains Rider",IntelliJ,Visual Studio,VS Code,,,,Rider,
Programmer / Software Developer / Software Engineer,25 - 34,R_r0Crov8skpxRX0Z,P35,6,6,6,1,3,3,Bachelor's degree,Prefer not to answer,"Visual Studio,VS Code",,Visual Studio,VS Code,,,,,
Technical Lead / Team Leader,35 - 44,R_1kUioyAqj82u6jO,P36,20,20,10,4,1,4,Bachelor's degree,Male,"JetBrains IntelliJ,VS Code",IntelliJ,,VS Code,,,,,
System Administrator / Network Engineer,35 - 44,R_ypR4qhbgU0SUZbP,P37,8,9,2,3,4,4,Some college or university but no degree,Male,"Netbeans,Visual Studio",,Visual Studio,,,Netbeans,,,
Programmer / Software Developer / Software Engineer,35 - 44,R_rrV2EXnlDOwWtfH,P38,3,3,3,3,2,3,Bachelor's degree,Male,"JetBrains IntelliJ,JetBrains Rider",IntelliJ,,,,,,Rider,
Programmer / Software Developer / Software Engineer,25 - 34,R_qC9hjVZatKQj2Gl,P39,2,2,2,1,3,3,Master's degree,Male,Visual Studio,,Visual Studio,,,,,,
Programmer / Software Developer / Software Engineer,25 - 34,R_DAFJcrWr0RiPSxP,P40,3,3,3,2,4,4,Some college or university but no degree,Male,"Visual Studio,VS Code",,Visual Studio,VS Code,,,,,
Researcher,25 - 34,R_6SeAWzBFKdfGDwl,P41,7,7,7,2,5,5,Doctoral degree,Male,"Visual Studio,VS Code,Other, please specify",,Visual Studio,VS Code,,,,,Other
Programmer / Software Developer / Software Engineer,25 - 34,R_3lSI2YVTnOgnU7H,P42,9,9,9,2,5,5,Master's degree,Male,"Visual Studio,VS Code",,Visual Studio,VS Code,,,,,
Programmer / Software Developer / Software Engineer,55 - 64,R_u2PdBGi3I71SAg1,P43,38,35,10,5,3,5,Master's degree,Male,JetBrains IntelliJ,IntelliJ,,,,,,,
Programmer / Software Developer / Software Engineer,25 - 34,R_31A9pLLDGxehXG8,P44,7,7,7,3,,3,Bachelor's degree,Male,"Netbeans,VS Code",,,VS Code,,Netbeans,,,
Programmer / Software Developer / Software Engineer,35 - 44,R_1gcMogvXYFoPmhm,P45,12,12,10,5,1,5,Master's degree,Male,"JetBrains IntelliJ,Netbeans",IntelliJ,,,,Netbeans,,,
Programmer / Software Developer / Software Engineer,45 - 54,R_1pWg6DdJFWbSt4W,P46,34,24,10,5,1,5,Master's degree,Male,"JetBrains IntelliJ,Eclipse,Vim",IntelliJ,,,Eclipse,,Vim,,
Programmer / Software Developer / Software Engineer,35 - 44,R_2YywV5aIC6PUmOM,P47,15,15,10,2,5,5,Master's degree,Male,"Visual Studio,VS Code",,Visual Studio,VS Code,,,,,
Researcher,55 - 64,R_1Dp9lTeIAHOHxTa,P48,30,22,4,4,1,4,Master's degree,Male,"Eclipse,Vim",,,,Eclipse,,Vim,,
,,Sum,,12.11111111,9.622222222,6.043478261,,,3,,41,,26,23,21,11,7,7,6,6
