,,,,Cost-Benfit Analysis,Tool Triggers,Lack of Code Understanding,Usage Overhead,Tolerance if Speed,Duplicates,Control Sum,Cost-Benfit Analysis,Tool Triggers,Lack of Code Understanding,Usage Overhead,Tolerance if Speed,Sorting
"<0,0,0,0,1>",ID12,"I don't think so.
I: What impacted your decision to do it manually rather than look for a tool?
There was only one usage of the function. There was not many usages or many different kinds of usages. There was just one place in the same file. There was only one usage each. So it seemed like doing it manually and actually knowing what is going on was better than finding some automated way and not knowing what was going on. [40:39]","Reflection
Not Efficient (""it seemed like doing it manually and actually knowing what is going on was better than finding some automated way and not knowing what was going on.”)",1,,,,,0,,ID12,,,,,29
"<1,0,0,1,1>",ID12,"There was only one usage of the function. There was not many usages or many different kinds of usages. There was just one place in the same file. There was only one usage each. So it seemed like doing it manually and actually knowing what is going on was better than finding some automated way and not knowing what was going on. [40:39]
I: What do you mean by not knowing what is going on?
It's not that I don't trust the IDE but those refactoring things that are built in they're a bit magical for moving code around so if you haven't used it a lot you don't know where it will move it. It may move it to the wrong place. Again git is a good tool to show you changes so it should be easy to find where it ended up but if it doesn't do exactly what you want you have to try again and you may end up spending more time than just doing it. [41:24]","Reflection
Not Trust 
 Not Predictable (“f you haven't used it a lot you don't know where it will move it.”)
 Not Efficient (“if it doesn't do exactly what you want you have to try again and you may end up spending more time than just doing it.”)",1,,,,,0,,ID12,,,,,30
"<1,0,0,0,1>",ID14,"I'm thinking through my use of refactoring tools and wondering if there is a different tool I could have used. [53:05]
I: How would that tool be?
It was strange that Inlining didn't work there, that was strange. I guess it was because of the target function, because it was returning a constant. Maybe on a more complex method I could have .. I'm not sure it would have been faster.","Reflection
Not Predictable (""was strange”)
 Not Efficient (“not sure it would have been faster”)",1,,,,,0,,ID14,,,,,33
"<0,1,0,0,1>",ID14,"There's no loop here. I think we can refactor this functionality so we don't have .. that would just make my other inlining easier..
I: Can you explain what you mean? [1:29:21]
I tried to inline this one, and it gave me the - doesn't like - because of the return statement interrupting the execution flow, which because of the previous experience I have a better understanding of what that means. So like this return statement here, in, I guess the middle of the code, makes it more difficult to refactor, so I'm wondering if I can refactor it like I proposed earlier and see if that would allow me to inline this function. I don't need to do that this, in this case it would be faster to just go for it, but I'm thinking that if I learn this part of the tool, this I guess minor refactoring, that would help me more in the long term.
I: What would usually impact your decision to approach the intermediate refactoring, or do it by hand?
Time, is the short answer. If three refactorings takes longer than modifying two or three lines, then I'll just modify them.","Invocation
Effective (""in this case it would be faster to just go for it”)
Invocation
Efficient(""If three refactorings takes longer than modifying two or three lines, then I'll just modify them."")",1,,,,,0,,ID14,,,,,35
"<0,1,0,0,1>",ID16,"I thought it would be faster. It is importing stuff automatically, that's nice.
I: And what made you decide to abandon it?
I spent a couple of minutes and didn't get it working. I decided it is faster to do manually. If I were to spend a lot of time doing this I may investigate how to do it. [11:35]
I: Did you compare it to the time you thought the task would take?
Not explicitly, but I thought the task wouldn't take very long. Also the fact that I couldn't do it made me think that the tooling doesn't support it. I tried a couple of different approaches and couldn't get them to work. [12:04]","Reflection
Not Efficient (“I decided it is faster to do manually.”)
Reflection
Not Effective (“the fact that I couldn't do it made me think that the tooling doesn't support it.”)
",1,,,,,0,,ID16,,,,,37
"<0,0,0,0,1>",ID18,"Yes, because I cannot be bothered to find that tool.
I: What made you decide to stop trying ?
The fact that I knew for sure that I could definitely just do the cut and paste as fast or faster than the time I would have spent searching through all the submenus, locating the tool, it would be faster to cut and paste.","Reflection
Not Efficient",1,,,,,0,,ID18,,,,,38
"<0,0,0,0,1>",ID18,"No, but I should have. Yes, that is good. [1:42:33]
I: In both the second and third task you did not look for tools at all. Why not?
I thought this was a relatively complicated refactoring so I thought that instead of me digging through the menus for refactorings and undo them if they don't work, it would be easier for me to just go and do it myself.","Reflection
Not Efficient",1,,,,,0,,ID18,,,,,39
"<1,0,0,0,1>",ID19,"But of course it depends again on what I'm trying to do. I've never checked if there is a way to remove arguments. I'll just go ahead with change method signature and see if I can remove.
I'm going to go ahead and preview this time, because there is a preview button and that should tell me exactly what's going on.
There is already another method that way, which means that - it may actually - it will collide - what I'll do in a lot of cases is go back and see what does that one do. It just sets it to false. Something that - I'd take two different approaches is to delete this method right off the bat. Another is kind of similar to what I did in the last one. But in this case I'll go ahead and delete this, and try to use the refactoring tool. I want to see what happens from it. With something like this it can be a lot easier with a refactoring tool to help remove some of that.
I: Why is that?
Kind of back to the same, understanding to happen. When I go ahead and do this, in the preview here I can see some of what's going on, and it's not necessarily just breaking it, it's kind of seeing it in different ways. Like when I break things and go and look at the errors, I should be able to get some of the same context here. Instead of having to manually delete everything by hand. And we'll kind of see what state it gets us into. I'll ignore the error and continue, because I can come back and fix the logic in that. It's more interesting about all the different places that has that changed.","Invocation
Efficient (""it can be a lot easier with a refactoring tool“)
Invocation
Predictable (“in the preview here I can see some of what's going on”)",1,,,,,0,,ID19,,,,,40
"<0,0,1,0,1>",ID19,"If it wasn't all individual methods, if it was encapsulated in a class, it's much easier to remove it, because you can just delete that one variable and just clean up the appropriate logic. It is a different visibility to knowing that an entire object was doing that forceaccess, so when you're looking at the tests you can look for ones that are instantiating the object with the specific code instead. Maybe it's not anything different int he tooling per se, but it change the way you look at it and understand the impact of your changes.
I: You used change signature refactoring and the global git view. Why did you choose to use those particular tools?
I chose to use the change signature because it was easier instead of going through everything and change everything. The git diff was because I knew I broke something and I needed to find out what. I broke something not directly related to the refactoring, but as part of the changes I did as part of the change to the logic. Using the git view is hugely beneficial [for that].
I: How did you find the usage of change signature, did it do what you wanted?
Not completely. I think if I'd played a little more I could have excluded part of the refactoring. I'd like to say I want to go ahead with the refactoring in this area and not in this area, because if I could exclude the tests I could better see the impact of what tests are actually broken. But you want to have the proper changes done inside the code.","Reflection
Efficient (""it was easier instead of going through everything”)
Reflection
Not Satisfaction (""Not completely.”)",1,,,,,0,,ID19,,,,,41
"<0,0,0,0,1>",ID19,"What tests were removed. None of the tests I removed were kind of necessarily wrong - but whether there should be more tests removed, or .. one of the tests I took out was passing, and shouldn't..might not be right as it should be passing.
I: Can you elaborate on why you choose to use the change signature tool on this task.
Seeing the preview and liking to playing with tools. For this one it made it a little easier, because it was able to update all the tests, because any that passed in false as well was updated. That means that there may be duplicate code, because one may pass with false and one with true, but it was able to kind of update the core of the tests as well as all the internal calls. For all the passthroughs.","Reflection
Efficient (“made it a little easier”)",1,,,,,0,,ID19,,,,,42
"<1,1,1,0,1>",ID3,"I just did.
I: Yes manually. Did you consider checking the refactoring menu. [1:49:46] Why did you not consider using it?
So I would inline this into this.. How would I do this? I have never used this before. Here is the refactoring menu. So it says it has 20 occurrances. What do I even do here? This is like - this is not even the function it is usages of it? Will this change the invocation? This is not what I want. This is already discouraging me from pursuing it forward. Only if I discover that what I want to do is impossible or taking too long then I would research.","Invocation
Not Predictable
 (“What do I even do here”)
 Not Satisfaction 
 (“already discouraging me from pursuing it forward”)
 Not Effective 
 (“This is not what I want. “)
 Efficient 
 (“Only if I discover that what I want to do is..taking too long”)",,1,,,,0,,,ID3,,,,3
"<1,1,1,0,1>",ID4,"parameter forceaccess is used in methodbody. Oh it's saying it's used somewhere - wait - what's that trying to say? Oh it's saying it's used - but that's fine; I'm going to do this and it's going to complain and I'm ok with that. Because I realise that there's no way to do this without something complaining. I feel like it's not going to be able to automatically remove it; besides there are some logic changes too.
Continue.
Alright!
As I mentioned there's some red stuff here. That's fine. If forceaccess set accessible true else continue. It looks like we don't actually need this which means the else is always going to be true. so the question is what does the continue do? The continue will just go back to the beginning of the forloop. I was just looking to see if I actually needed to even have this if-statement up here but it sounds fine. I think that this should be ok because what's happening is if this boolean is false we want to just continue anyway otherwise we want to just return the field. Sure that should work. Ok so now I'm surprised - I'm kinda shocked that there's not more red in here because did I automatically remove it already?
I: What do you think the tool did?
Oh it probably already renamed everything that was using this. Ugh.
I've just realized that I think one of the reasons I'm hesitant to use tools is because I don't know the full impact. If I were to look at a source control diff right now I would assume that we have some usages. There's going to be some very redundant test cases right now because they've probably been automatically renamed to use the default parameter right now. So if I were to look for getField in here ...
what'll happen is that those test cases are probably going to break.
If I hadn't used a refactoring tool and I would have just seen the red lines and known that this is exactly what I need to remove. What I'll do now is that I guess there's like a git diff thing I can use in here.","Invocation
EffectiveInvocation
Not Predictable 
 (“surprised” ..”did I automatically remove it already?”)Invocation
Not SatisfactionInvocation
Not Predictable
 (“I don't know the full impact”)Invocation
Not Efficient
 (“If I hadn't used a refactoring tool and I would have just seen the red lines and known that this is exactly what I need to remove.”)",,,,,,0,,,,,,,4
"<0,1,1,0,1>",ID4,"testgetFieldforceAccess I'll just remove it
I: So in this case you used git instead of the compile errors?
Yeah so I guess my previous goto for this kind of thing would be to know that this is what I need to remove because the compiler is complaining but because this kind of tool automatically did a lot more for me it kind of disrupted my flow. This was because it was the first time I was doing this. But this time you know what .. I'm going to be frank and say the next thing I'll do is to go back to my old approach. Because this I guess because of the nature of the task - I guess it's all about control and I feel I am out of control when things happen automagically.","Invocation
Effective
 (“this kind of tool automatically did a lot more for me”)
 Not Efficient 
 (“disrupted my flow”)
 Not Satisfaction
 (“I feel I am out of control”)",,,,,,0,,,,,,,5
"<1,0,1,1,1>",ID4,"I see. Honestly probably because I didn't really know that one. It looks familiar because I've seen it but I've never used it.
I: You didn't know what it did?
...know.. I've seen it but I didn't know what it did. But that sounds way more useful and I probably should have used that because that is actually expanding the call like paste in does. I think it depends for me the more automagical it gets the less I trust it. To me Rename is simple. I like Rename I can quickly Rename I can see what is Renamed et cetera.
I: What is simple with it?
It is effectively a very specialized find-and-replace - I guess they all are. To me it just feels like it doesn't do anything - it doesn't feel super fancy. Like compared to this method signature one where it changed a lot of different places - maybe because I'm just more familiar with it but it just seems more - I guess it's because it's more similar to .. I'm not sure.. why do I ..","Reflection
Trust
 Efficient (“quickly”)
 Satisfaction (“like”)
 Predictable (“see what is Renamed”)Reflection
Predictable
 (“it doesn't feel super fancy. Like compared to this method signature one where it changed a lot of different places”)",,,,,,0,,,,,,,7
"<1,0,0,0,1>",ID6,"No it was the functionality that was wrong. But if I had done the refactoring before and I wrote the test later I would not have known if it was because of the refactoring or it was a bug there.
I: Can you summarize why you would usually use or not use a refactoring tool in this kind of task?
I use a refactoring when the changes are small enough that I am fully aware of where the code is going to change. Otherwise I prefer to do things manually. I konw it's more labor intensive but that helps me to get more familiar with the code and learn how I can improve the readability of the code. I'm picky with readability.","Reflection
Predictable 
 (""I am fully aware of where the code is going to change”)
 Not Efficient (“I know it’s more labor intensive”)",,,1,,,0,,,,ID6,,,11
"<0,0,0,0,1>",ID7,"I remember a specific workflow I dealt with quite a bit was .. there is like a convert variable to field refactoring, which I've used mostly in tests a lot. Often you'll have tests set up code, and so you'll have 30 tests and 25 of them initialise some variable and use it, and so you're like, ok, they're initialising it mostly to the same value probably, so you extract it to a field, and the tests that don't use it don't use it, whatever, and you save 20 lines of code. so In doing that I found that I wanted to for example move the actual assignment of that value into a before-block or something like this, and the refactoring tools weren't aware of that I was doing this as part of a junit test that had beforeEach blocks, so it didn't reason about that. So I'd have to do that kind of cleanup after. What I'd really wanted to do, is to turn this variable into a field, initialise it somewhere else - because that's maybe the pattern in this class is everything is being initialised in the beforeblock instead of as the fields, and so it didn't always have - like the ref tool of course is not 'intelligent', it doesn't have all the context and it doesn't know what I'm going to do, so sometimes they would slip there as well.
I: Did you expect the tool to behave differently because you were in the context of a test?
It wasn't an expectation, but it was an aknowledgement that .. I never expected it to do exactly what I wanted, but it was close enough, like it would do the first 80% of the work and then I would do the last 20% of the work. I was never like, ah, Eclipse why didn't you do exactly what I wanted - except in the case for that class refactoring where I didn't understand what it was trying to do; if I had taken the time to understand what it was trying to do I probably would have found a use for it, but it never felt necessary to do so.","Reflection
Efficient 
 (“it would do the first 80% of the work and then I would do the last 20%”)",,,,,,0,,,,,,,13
"<0,1,1,0,1>",ID7,"So, we'll just Extract Variable, oh I want to extract the not negated value; I'll just call it result for now 'cause I'm not expecting I'll keep this.
I: So you're just doing this to kind of debug your process?
Ultimately I want to inline isAnyNotBLank. It didn't let me do that, so I figured if I changed the code to work in this way where it wasn't negating the returned value, it would let me inline it. So I'll inline it here, and then I'll see if I maybe want to get rid of this result. So inline that, no ok it doesn't like that.
Inline interrupts the execution flow. So now I'm going to have to go look, and I'm guessing the problem is in fact that there's multiple return statements here, so it can't inline this. But at this point, now that I'm in isAnyNotBLank, and i know that I'm just negating the return value, and it just has three return statements,
I could just copy this code and change the three return statements to be the opposite. So I've tried to use the tools, it didn't let me do it, I was wrong about why it didn't let me do it, but now I look at it, and I see that it can't inline multiple return statements, because that's, it makes sense, but I want to negate the functionality of this, so I can just negate the return statements.","Invocation
Not Satisfaction
 (“It doesn’t like that”)Invocation
Not Efficient (“I can just…”)
 Not Effective
 (“tried to use the tool and it did not let me do it”)",,,,,,0,,,,,,,14
"<0,1,0,0,1>",ID7,"Ultimately the code changes I made were deleting tests for the methods that were to be deleted, then copying the contents of the methods that were to be deleted into where they were being invoked, and changing all the return statements in that code, because all the consumers of those methods were negating the returned valye from the methods to be deleted.
I: Do you know of any tools that could have automated it?
[48:45] I do not. The one tool I thought may be able to automated this refused to, because it can't inline method invocations with multiple return statements or perhaps return statements that are organized in a certain way that interrupts execution flow. I would expect, that to inline something like this, you would probably need to define a variable, and then change all of the return statements to assignments and then return that variable. So an alternative way to accomplish this would have been to change those return statements to the variable that was assigned, and then I could have inlined it. It seemed like more work for no gain. So no, I'm not aware of any tools that could have done what I just did. It seems a fairly easy thing, what I just did, so I would not be surprised if there was a tool, but I'm not aware of one.","Reflection
Not Effective (“one tool I thought may be able to automate this refused to”)
 Not Efficient (“more work for no gain”)",,,,,,0,,,,,,,15
"<0,1,0,0,1>",ID7,"[1:02:50] It might have been better - and I'm not entirely sure actually - if I had modified all the callers before modifying the methods that were being called.
I: Why do you think that could've been betteR?
Because then ... no it's all the same, because they have duplicates as well. it might have resulted in a process that was less driven by compilation errors. Because I just did that I can't actually inline this into the other invocation. So I'm just going to undo that..
I: So now you're backtracking your change in order to use the tool?
Yeah.","Invocation
Not Effective (“I can’t actually inline)Invocation
Not Efficient (“backtracking your change in order to use the tool -yeah”)",,,,,,0,,,,,,,16
"<1,0,0,0,1>",ID8,"Yes
I: Move method?
Not so much. I don't think I move methods that often. And I don't use the other ones that often so I don't know how they work. It can take just as long to figure out what it is going to do or how it does it, and I don't know what it's doing.. Not familiarity. Usually when I am refactoring, it is not easy. It is a complicated thing. It's more like the any-not-any-is-not. Stuff like that, where I have to think it out, and I'm changing something. Usually the refactoring..it is closer to rewriting than to refactoring. You know, it's like, we're not using a list, we need a queue. So now we put a queue in there. So there is more semantic changes, and no tool is going to .. I'll need to look through it. I have to look through it. Unless it showed me exactly what it was doing so I could look through that - that would be ok.","Reflection
Efficient 
 (“It can take just as long to figure out what it is going to do or how it does it”)
 Predictable (“Unless it showed me exactly what it was doing so I could look through that”)",,,,,,0,,,,,,,18
"<0,0,0,0,1>",ID9,"Using copy-paste trusting that my IDE would automatically manage my imports for me.
I: You indicated that you wanted to refactor-move them but ended up copy-pasting.
The more complicated the operation the more likely I would be to use the IDE's tools. Because the methods were not related to any other code it was more efficient to move them all at once. I think refactor-move lets you select multiple but it's just unnecessary when methods are independent.","Reflection
Efficient",,1,,,,0,,,ID9,,,,19
"<1,0,1,0,1>",ID9,"Yes because I could see that the method was right here. The two argument version.
I: So the refactoring did break the code but it was what you expected nonetheless.
Yes it was more helpful for the refactoring to result in code that did not compile than to say I can not do that.
I: how come?
It was more in line with the change I would have done manually. I would make the change, see that there was an in-collision and then resolve the collision. Asking me to modify unrelated code in order to delete the unrelated code feels like an extra step.","Reflection
Predictable
 Satisfaction 
 (“it was more helpful for the refactoring to result in code that did not compile than to say I can not do that. “)Reflection
Efficient (“Asking me to modify unrelated code in order to delete the unrelated code feels like an extra step.”)",,,,1,,0,,,,,ID9,,21
"<0,0,0,0,1>",ID9,"But I want both.
I: Can't you just click this..
But it's the speed of doing it. It's like is it going to be faster for me to use the tool with it's default and fix the things it get wrong or use the tool and it gets everythign right or do it by hand.
Several layers further down there's use the tool and click checkboxes to make it right. It really depends on the refactoring. I think that particularly is one I encounter a lot. It is more common in less well-scoped or less strongly typed code. Where the thing you want to rename is less clear.
I: It almost turns into find and replace.
Yes. Which I could do by hand if I wanted. I think another place where manual tools win are if you have - like trying to do transformations on things that are sort of code but not really like typically if you've got a bunch of constants or a static block of repetitive code I could try to use refactoring tools to change the signature or .. but it's faster to just find and replace or multi-cursor the new parameter where I want it because I know that there is some regularity in the structure I'm trying to transform that may not be apparent to an automated refactoring tool. [1:20:58]","Reflection
Efficient (“the speed of doing it”)Reflection
Not Efficient(“I could try to use refactoring tools to change the signature or .. but it's faster to just find and replace”)",,,,1,,0,,,,,ID9,,22
"<1,1,0,1,1>",ID9,"I: You mentioned trust as an aspect of these tools. What are some example of cases in which you don't trust the tools?
In my work I typically work in typescript and I know that the find references tool does not find all references so I know that any automated refactoring will miss some call sites. Sometimes it's still worth it to use the refactoring tool and find the remaining call sites myself but I know that I need to do my own search after to either verify or complete the remained of the transformation.
It is really a tool specific thing that if you know the tool well enough you recognize the bugs and you know you will hit them again. And maybe you stop using the tool. I don't have any big dogmatic that I don't trust the tool to do X it is just that over the years of using refactoring tools I've known there to be buggy tools I've seen them.
I: And you kept using them?
I kept using them. Because they are much faster than doing it by hand.
I: Which refactorings do you usually use them for?
The most common one is adjust method signature. Like reordering method parameters. Like that is trivial. I trust the tool to do it and it is a lot of work to do by hand. Or introduce a new parameter. If I can introduce a default parameter to all callsites. Maybe I have to go through and see what the real value is at each call site but the tool has identified the callsites for me and has injected a marker for you need to do some work here.","Reflection
Predictable (“if you know the tool well enough you recognize the bugs and you know you will hit them again”)Reflection
EfficientReflection
Trust 
 Effective 
 Efficient",,,,,1,0,,,,,,ID9,23
